Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
14,IYA CT,BREVARD,NC,28712,35.14895642,-82.72348937,House,
65,TSUYVTLVI CT,BREVARD,NC,28712,35.15025154,-82.75098034,House,
1772,CONNESTEE TRL,BREVARD,NC,28712,35.15371538,-82.74325295,House,
243,UGEDALIYVI CT,BREVARD,NC,28712,35.15038158,-82.72863822,House,
369,TSUYVTLVI CT,BREVARD,NC,28712,35.15097832,-82.74764022,House,
388,INOLI CIR,BREVARD,NC,28712,35.15736002,-82.73678856,House,
515,CHEULAH RD,BREVARD,NC,28712,35.15365376,-82.73928073,House,
829,KELLY MOUNTAIN RD,BREVARD,NC,28712,35.15998179,-82.7569012,House,
115,INDIAN HILLS DR,BREVARD,NC,28712,35.15795713,-82.73218448,House,
333,KANASDATSI DR,BREVARD,NC,28712,35.15613558,-82.73216729,House,
933,CONNESTEE TRL,BREVARD,NC,28712,35.15872531,-82.73518739,Other,
29,GULEDISGONIHI CT,BREVARD,NC,28712,35.14468121,-82.73201482,House,
260,UGUGU DR,BREVARD,NC,28712,35.14935871,-82.74765059,House,
321,MIDDLE CONNESTEE TRL,BREVARD,NC,28712,35.14785364,-82.72649167,House,
88,WANEI CT,BREVARD,NC,28712,35.160368,-82.72834136,House,
232,UDOQUE CT,BREVARD,NC,28712,35.15183516,-82.75808506,House,
186,UDOQUE CT,BREVARD,NC,28712,35.15140551,-82.75812371,House,
45,AMA CT,BREVARD,NC,28712,35.16128866,-82.73540004,House,
1217,UGUGU DR,BREVARD,NC,28712,35.14548258,-82.7577092,House,
50,TSVWAGI CT,BREVARD,NC,28712,35.14737552,-82.76050553,House,
70,UNVDATLVI CT,BREVARD,NC,28712,35.14810263,-82.75074772,House,
351,MIDDLE CONNESTEE TRL,BREVARD,NC,28712,35.14777115,-82.72687568,House,
170,INOLI CIR,BREVARD,NC,28712,35.15551372,-82.73835178,House,
78,SGILI CT,BREVARD,NC,28712,35.14439081,-82.75725294,House,
151,UNOGA CT,BREVARD,NC,28712,35.1446515,-82.74418811,House,
83,JUNALUSKA RD,BREVARD,NC,28712,35.150682,-82.740647,House,
60,AGALIHA LN,BREVARD,NC,28712,35.154233,-82.731386,House,
340,TSISQUA CIR,BREVARD,NC,28712,35.146275,-82.738693,House,
624,UGUGU DR,BREVARD,NC,28712,35.146959,-82.751686,House,
118,TSUYVTLVI CT,BREVARD,NC,28712,35.149659,-82.749808,House,
411,UDOQUE CT,BREVARD,NC,28712,35.154814,-82.75783,House,
726,UGUGU DR,BREVARD,NC,28712,35.144956,-82.753222,House,
115,PEPPERBUSH RD,BREVARD,NC,28712,35.159458,-82.755774,House,
4,NVYA CT,BREVARD,NC,28712,35.15397,-82.728379,House,
691,MIDDLE CONNESTEE TRL,BREVARD,NC,28712,35.145074,-82.730834,House,
34,CHEROKEE CT,BREVARD,NC,28712,35.155132,-82.741082,House,
446,INOLI CIR,BREVARD,NC,28712,35.157509,-82.737606,House,
570,UNVDATLVI CT,BREVARD,NC,28712,35.153448,-82.750191,House,
1986,CONNESTEE TRL,BREVARD,NC,28712,35.150748,-82.74381,House,
35,UGILADI CT,BREVARD,NC,28712,35.146398,-82.729109,House,
183,N SEQUOYAH LN,BREVARD,NC,28712,35.161525,-82.74224,House,
1732,CONNESTEE TRL,BREVARD,NC,28712,35.154216,-82.743385,House,
1165,UGUGU DR,BREVARD,NC,28712,35.145534,-82.756892,House,
230,CATATOGA PATH,BREVARD,NC,28712,35.151478,-82.740398,House,
1882,CONNESTEE TRL,BREVARD,NC,28712,35.152274,-82.743686,House,
282,CHAGEE LN,BREVARD,NC,28712,35.16368,-82.735872,House,
