Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
33,ALMOST HOME RD,HENDERSONVILLE,NC,28739,35.2690137,-82.62676984,House, 
59,ALMOST HOME RD,HENDERSONVILLE,NC,28739,35.26864541,-82.62648295,House, 
85,ALMOST HOME RD,HENDERSONVILLE,NC,28739,35.26852579,-82.62590764,House, 
27,AMANDA DR,PENROSE,NC,28766,35.24429826,-82.63522573,House, 
97,AMANDA DR,PENROSE,NC,28766,35.24496764,-82.63593003,House, 
100,AMANDA DR,PENROSE,NC,28766,35.24519303,-82.63538205,House, 
61,AMBER CIR,PENROSE,NC,28766,35.22966304,-82.62087548,House, 
6,BABBLING BROOK LN,HENDERSONVILLE,NC,28739,35.27807466,-82.62017077,House, 
29,BABBLING BROOK LN,HENDERSONVILLE,NC,28739,35.27773528,-82.61993848,House, 
30,BABBLING BROOK LN,HENDERSONVILLE,NC,28739,35.27784981,-82.62008658,House, 
122,BANTHER DR,PENROSE,NC,28766,35.25720438,-82.63211671,House, 
28,BASS LAKE DR,PISGAH FOREST,NC,28768,35.29054833,-82.62500843,House, 
38,BASS LAKE DR,PISGAH FOREST,NC,28768,35.29050236,-82.62538731,House, 
78,BASS LAKE DR,PISGAH FOREST,NC,28768,35.29045066,-82.62588434,House, 
96,BASS LAKE DR,PISGAH FOREST,NC,28768,35.29031965,-82.62620036,House, 
156,BASS LAKE DR,PISGAH FOREST,NC,28768,35.28970703,-82.6266001,House, 
192,BASS LAKE DR,PISGAH FOREST,NC,28768,35.28919844,-82.62583271,House, 
340,BASS LAKE DR,PISGAH FOREST,NC,28768,35.28735137,-82.6253723,House, 
345,BASS LAKE DR,PISGAH FOREST,NC,28768,35.28682645,-82.62543046,House, 
361,BASS LAKE DR,PISGAH FOREST,NC,28768,35.28697607,-82.62576533,House, 
385,BASS LAKE DR,PISGAH FOREST,NC,28768,35.28736244,-82.62597783,House, 
408,BASS LAKE DR,PISGAH FOREST,NC,28768,35.28786804,-82.62586913,House, 
