Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
523,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.32243502,-82.64513458,House, 
556,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.32262514,-82.64666739,House, 
568,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.32315571,-82.64625692,House, 
586,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.32224685,-82.64683002,House, 
624,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.32201503,-82.64702144,House, 
644,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.32186741,-82.64666892,House, 
668,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.32162786,-82.64647451,House, 
670,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.32167402,-82.64722881,House, 
740,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.32088515,-82.64682062,House, 
777,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.32026615,-82.64632595,House, 
780,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.32041354,-82.64719278,House, 
789,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.32026162,-82.6467833,House, 
798,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.32052193,-82.64785149,House, 
800,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.32010794,-82.64750395,House, 
810,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.32032196,-82.64793347,House, 
811,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.31951152,-82.64688348,House, 
814,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.31969065,-82.64760024,House, 
821,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.31977132,-82.64661168,House, 
845,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.31870133,-82.64649284,House, 
847,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.31889167,-82.64758008,House, 
860,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.31905531,-82.64808288,House, 
895,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.31837181,-82.64755245,House, 
946,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.31937501,-82.64874344,House, 
957,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.31828531,-82.64818469,House, 
958,TURKEY PEN GAP RD,HORSE SHOE,NC,28742,35.31901857,-82.64876381,House, 
