Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
26,AIKEN RD,ROSMAN,NC,28772,35.12047451,-82.82362338,House, 
50,AIKEN RD,ROSMAN,NC,28772,35.12005451,-82.823928,House, 
52,AIKEN RD,ROSMAN,NC,28772,35.12084208,-82.82484717,House, 
54,AIKEN RD,ROSMAN,NC,28772,35.12020187,-82.82488375,House, 
143,AIKEN RD,ROSMAN,NC,28772,35.11890178,-82.8252293,House, 
190,AIKEN RD,ROSMAN,NC,28772,35.11916239,-82.82668909,House, 
194,AIKEN RD,ROSMAN,NC,28772,35.11945591,-82.82507288,House, 
214,AIKEN RD,ROSMAN,NC,28772,35.11873816,-82.82662205,House, 
216,AIKEN RD,ROSMAN,NC,28772,35.11859106,-82.82626276,House, 
246,AIKEN RD,ROSMAN,NC,28772,35.11805653,-82.82689694,House, 
319,AIKEN RD,ROSMAN,NC,28772,35.11797887,-82.82484414,House, 
386,AIKEN RD,ROSMAN,NC,28772,35.11667191,-82.82506267,House, 
387,AIKEN RD,ROSMAN,NC,28772,35.11722997,-82.82467425,House, 
428,AIKEN RD,ROSMAN,NC,28772,35.1171697,-82.8236863,House, 
447,AIKEN RD,ROSMAN,NC,28772,35.11747128,-82.82373107,House, 
455,AIKEN RD,ROSMAN,NC,28772,35.11745873,-82.82383785,House, 
475,AIKEN RD,ROSMAN,NC,28772,35.11755203,-82.82340446,House, 
18,ANNIE'S WAY,BREVARD,NC,28712,35.11528304,-82.83645813,House, 
36,BEE TREE WAY,LAKE TOXAWAY,NC,28747,35.12610341,-82.95413221,House, 
64,BEE TREE WAY,LAKE TOXAWAY,NC,28747,35.12567831,-82.9540757,House, 
76,BEE TREE WAY,LAKE TOXAWAY,NC,28747,35.12534413,-82.95393009,House, 
106,BEE TREE WAY,LAKE TOXAWAY,NC,28747,35.12496566,-82.95378261,House, 
110,BEE TREE WAY,LAKE TOXAWAY,NC,28747,35.12484395,-82.95346612,House, 
148,BEE TREE WAY,LAKE TOXAWAY,NC,28747,35.1248774,-82.95312899,House, 
384,BEN NEVIS RD,BREVARD,NC,28712,35.1157909,-82.83092263,House, 
24,BIG PINE RD,SAPPHIRE,NC,28774,35.11503562,-82.98298527,House, 
9,BLUE GRASS CIR,ROSMAN,NC,28772,35.12650657,-82.83510217,House, 
38,BLUE GRASS CIR,ROSMAN,NC,28772,35.12638077,-82.83557485,House, 
71,BLUE GRASS CIR,ROSMAN,NC,28772,35.12598639,-82.83555697,House, 
62,BLUE RIDGE OVERLOOK DR,BREVARD,NC,28712,35.11625791,-82.83515711,House, 
126,BLUE RIDGE OVERLOOK DR,BREVARD,NC,28712,35.11598381,-82.83489941,House, 
166,BLUE RIDGE OVERLOOK DR,BREVARD,NC,28712,35.1157397,-82.83547193,House, 
188,BLUE RIDGE OVERLOOK DR,BREVARD,NC,28712,35.11554572,-82.83576182,House, 
259,BLUE RIDGE OVERLOOK DR,BREVARD,NC,28712,35.115245,-82.83553376,House, 
295,BLUE RIDGE OVERLOOK DR,BREVARD,NC,28712,35.11554483,-82.83498874,House, 
10,BLUE RIDGE PARK,BREVARD,NC,28712,35.12083193,-82.83244854,House, 
17,BLUE RIDGE PARK,BREVARD,NC,28712,35.1206472,-82.83286191,House, 
24,BLUE RIDGE PARK,BREVARD,NC,28712,35.12098331,-82.83263821,House, 
34,BLUE RIDGE PARK,BREVARD,NC,28712,35.12097416,-82.83282157,House, 
37,BLUE RIDGE PARK,BREVARD,NC,28712,35.1206562,-82.83297066,House, 
47,BLUE RIDGE PARK,BREVARD,NC,28712,35.12077862,-82.83310412,House, 
49,BLUE RIDGE PARK,BREVARD,NC,28712,35.12104186,-82.83321641,House, 
72,BLUE RIDGE PARK,BREVARD,NC,28712,35.12143371,-82.83331205,House, 
274,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.13034269,-82.93076659,House, 
298,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.13042174,-82.93110616,House, 
362,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.13081126,-82.93180923,House, 
364,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.1322885,-82.92891912,House, 
436,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.13170529,-82.93261346,House, 
502,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.13241375,-82.93337251,House, 
504,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.13250449,-82.93350008,House, 
547,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.13255715,-82.93418866,House, 
556,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.13352389,-82.93349841,House, 
565,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.13304438,-82.93450048,House, 
595,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.13363596,-82.93461709,House, 
621,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.1339761,-82.93446306,House, 
672,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.13457042,-82.93291167,House, 
689,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.13482851,-82.93398462,House, 
800,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.13419919,-82.93038599,House, 
25,BLUE RIDGE SHADOWS DR,ROSMAN,NC,28772,35.11508987,-82.82142667,House, 
40,BOTHY RD,BREVARD,NC,28712,35.13247492,-82.85752991,House, 
