Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
33,RESORTS CIR,LAKE TOXAWAY,NC,28747,35.1192943,-82.93583756,House,
39,RESORTS CIR,LAKE TOXAWAY,NC,28747,35.11932196,-82.93571218,House,
53,RESORTS CIR,LAKE TOXAWAY,NC,28747,35.11937,-82.935534,House,
67,RESORTS CIR,LAKE TOXAWAY,NC,28747,35.11948513,-82.93543675,House,
93,RESORTS CIR,LAKE TOXAWAY,NC,28747,35.11974702,-82.93538724,House,
115,RESORTS CIR,LAKE TOXAWAY,NC,28747,35.1200692,-82.93532628,House,
131,RESORTS CIR,LAKE TOXAWAY,NC,28747,35.12014557,-82.93548418,House,
139,RESORTS CIR,LAKE TOXAWAY,NC,28747,35.12023872,-82.93557952,House,
421,FLAT CREEK VALLEY RD,LAKE TOXAWAY,NC,28747,35.12263586,-82.89123329,House,
328,INDIAN CREEK DR,LAKE TOXAWAY,NC,28747,35.12362692,-82.91548503,House,
436,NEAL THOMAS PL,LAKE TOXAWAY,NC,28747,35.11809801,-82.88791346,House,
401,NEAL THOMAS PL,LAKE TOXAWAY,NC,28747,35.11774957,-82.88821232,House,
400,NEAL THOMAS PL,LAKE TOXAWAY,NC,28747,35.1173283,-82.88797958,House,
360,NEAL THOMAS PL,LAKE TOXAWAY,NC,28747,35.1174135,-82.88879646,House,
291,NEAL THOMAS PL,LAKE TOXAWAY,NC,28747,35.118047,-82.89007739,House,
334,NEAL THOMAS PL,LAKE TOXAWAY,NC,28747,35.11757041,-82.8894209,House,
180,PINE HILL DR,BREVARD,NC,28712,35.12897111,-82.82015319,House,
209,FOREVER FARM WAY,LAKE TOXAWAY,NC,28747,35.11625305,-82.90057576,House,
398,PAUL MCCOY RD,LAKE TOXAWAY,NC,28747,35.12749078,-82.87494642,House,
38,RAVEN ROCK VISTA,LAKE TOXAWAY,NC,28774,35.13434245,-82.95907279,House,
150,TOXAWAY CHURCH RD,LAKE TOXAWAY,NC,28747,35.12275286,-82.93473438,House,
15,N CUMBERLAND DR,LAKE TOXAWAY,NC,28747,35.11835599,-82.93636013,House,
21,N CUMBERLAND DR,LAKE TOXAWAY,NC,28747,35.11849328,-82.9363376,House,
29,N CUMBERLAND DR,LAKE TOXAWAY,NC,28747,35.11864104,-82.93628788,House,
8,S CUMBERLAND DR,LAKE TOXAWAY,NC,28747,35.11806246,-82.93639844,House,
16,S CUMBERLAND DR,LAKE TOXAWAY,NC,28747,35.11796137,-82.93637607,House,
26,S CUMBERLAND DR,LAKE TOXAWAY,NC,28747,35.11781625,-82.93645507,House,
32,S CUMBERLAND DR,LAKE TOXAWAY,NC,28747,35.11764791,-82.9364382,House,
