Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
32,ACORN RIDGE RD,PISGAH FOREST,NC,28768,35.27187485,-82.66956703,Other, 
54,ACORN RIDGE RD,PISGAH FOREST,NC,28768,35.27245465,-82.66941604,House, 
90,ACORN RIDGE RD,PISGAH FOREST,NC,28768,35.27269027,-82.66904121,House, 
165,ACORN RIDGE RD,PISGAH FOREST,NC,28768,35.27343477,-82.66936034,House, 
252,ACORN RIDGE RD,PISGAH FOREST,NC,28768,35.27509058,-82.66811235,House, 
278,ACORN RIDGE RD,PISGAH FOREST,NC,28768,35.27452398,-82.66850524,House, 
291,ACORN RIDGE RD,PISGAH FOREST,NC,28768,35.27466236,-82.66895206,House, 
23,ANDREW PARK WAY,PISGAH FOREST,NC,28768,35.28301896,-82.69321058,House, 
31,ANDREW PARK WAY,PISGAH FOREST,NC,28768,35.28310909,-82.69329451,House, 
35,ANDREW PARK WAY,PISGAH FOREST,NC,28768,35.2831747,-82.6933531,House, 
2686,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27473095,-82.70145544,House, 
2688,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27535599,-82.70163659,House, 
2726,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27541992,-82.70132203,House, 
2730,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27577021,-82.70117584,House, 
2738,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27593532,-82.70083523,House, 
2753,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27620417,-82.70176318,House, 
2766,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27624543,-82.70036426,House, 
2783,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27685224,-82.7005325,House, 
2785,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27714563,-82.70110552,House, 
2786,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27645487,-82.70013831,House, 
2803,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27708164,-82.70025291,House, 
2820,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27677686,-82.69958219,House, 
2825,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27732687,-82.69999716,House, 
2840,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27691515,-82.69927728,House, 
2856,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27713884,-82.69911828,House, 
2861,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.2776654,-82.69982247,House, 
2872,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.2773026,-82.69887671,House, 
2881,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27762593,-82.69936633,House, 
2904,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27747969,-82.69862827,House, 
2905,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27781673,-82.69909143,House, 
2906,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27684217,-82.69763605,House, 
2907,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27819815,-82.69888491,House, 
2910,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27772707,-82.69830963,House, 
2928,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27791095,-82.69796544,House, 
2930,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27716496,-82.69718131,House, 
2942,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27808853,-82.69784834,House, 
2980,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27829928,-82.69758111,House, 
2982,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27766224,-82.69695006,House, 
2990,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.27761268,-82.69636016,House, 
2996,ASHEVILLE HWY,PISGAH FOREST,NC,28768,35.2786522,-82.69713492,House, 
