Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
14,RED FOX DR,PISGAH FOREST,NC,28768,35.25762835,-82.66430213,House, 
35,RED FOX DR,PISGAH FOREST,NC,28768,35.25734228,-82.66359887,House, 
63,RED FOX DR,PISGAH FOREST,NC,28768,35.25688479,-82.66331895,House, 
104,RED FOX DR,PISGAH FOREST,NC,28768,35.25620698,-82.66372597,House, 
114,RED FOX DR,PISGAH FOREST,NC,28768,35.25626346,-82.66347006,House, 
124,RED FOX DR,PISGAH FOREST,NC,28768,35.25596934,-82.66355223,House, 
131,RED FOX DR,PISGAH FOREST,NC,28768,35.25596738,-82.66332856,House, 
135,RED FOX DR,PISGAH FOREST,NC,28768,35.25590047,-82.66330527,House, 
139,RED FOX DR,PISGAH FOREST,NC,28768,35.25576705,-82.66326703,House, 
175,RED FOX DR,PISGAH FOREST,NC,28768,35.25536495,-82.66348771,House, 
229,RED FOX DR,PISGAH FOREST,NC,28768,35.25462622,-82.66353809,House, 
249,RED FOX DR,PISGAH FOREST,NC,28768,35.25434483,-82.6636056,House, 
306,RED FOX DR,PISGAH FOREST,NC,28768,35.25374289,-82.66423341,House, 
360,RED FOX DR,PISGAH FOREST,NC,28768,35.25304337,-82.66414316,House, 
376,RED FOX DR,PISGAH FOREST,NC,28768,35.2528512,-82.66424212,House, 
427,RED FOX DR,PISGAH FOREST,NC,28768,35.2522827,-82.66376897,House, 
457,RED FOX DR,PISGAH FOREST,NC,28768,35.25194457,-82.66338667,House, 
531,RESERVE RD,PISGAH FOREST,NC,28768,35.24818713,-82.6711189,House, 
1621,RESERVE RD,PISGAH FOREST,NC,28768,35.24479239,-82.65825286,House, 
1964,RESERVE RD,PISGAH FOREST,NC,28768,35.24418854,-82.66560666,House, 
2069,RESERVE RD,PISGAH FOREST,NC,28768,35.24273688,-82.66662113,House, 
11,SENTELLE LN,PISGAH FOREST,NC,28768,35.25984631,-82.67906759,House, 
126,SEVEN SPRINGS RD,PISGAH FOREST,NC,28768,35.24892162,-82.67798404,House, 
300,SEVEN SPRINGS RD,PISGAH FOREST,NC,28768,35.24785321,-82.67913584,House, 
451,SEVEN SPRINGS RD,PISGAH FOREST,NC,28768,35.24734402,-82.67710327,House, 
487,SEVEN SPRINGS RD,PISGAH FOREST,NC,28768,35.24773558,-82.676305,House, 
489,SEVEN SPRINGS RD,PISGAH FOREST,NC,28768,35.24666577,-82.67578454,House, 
597,SEVEN SPRINGS RD,PISGAH FOREST,NC,28768,35.24570734,-82.67509301,House, 
711,SEVEN SPRINGS RD,PISGAH FOREST,NC,28768,35.24438471,-82.6762164,House, 
927,SEVEN SPRINGS RD,PISGAH FOREST,NC,28768,35.24470134,-82.67746283,House, 
937,SEVEN SPRINGS RD,PISGAH FOREST,NC,28768,35.24366624,-82.6759347,House, 
1010,SEVEN SPRINGS RD,PISGAH FOREST,NC,28768,35.24319926,-82.67748645,House, 
1012,SEVEN SPRINGS RD,PISGAH FOREST,NC,28768,35.24322311,-82.67970435,House, 
1115,SEVEN SPRINGS RD,PISGAH FOREST,NC,28768,35.24295552,-82.67564851,House, 
1150,SEVEN SPRINGS RD,PISGAH FOREST,NC,28768,35.2423204,-82.67441481,House, 
16,SILVER FOX LN,PISGAH FOREST,NC,28768,35.2567668,-82.66420672,House, 
34,SILVER FOX LN,PISGAH FOREST,NC,28768,35.2566667,-82.66445429,House, 
54,SILVER FOX LN,PISGAH FOREST,NC,28768,35.25653632,-82.66477196,House, 
72,SILVER FOX LN,PISGAH FOREST,NC,28768,35.25634297,-82.66501722,House, 
117,SILVER FOX LN,PISGAH FOREST,NC,28768,35.25569787,-82.66504906,House, 
126,SILVER FOX LN,PISGAH FOREST,NC,28768,35.25559605,-82.66526196,House, 
145,SILVER FOX LN,PISGAH FOREST,NC,28768,35.25516229,-82.66506313,House, 
