Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
43,S BROAD ST,BREVARD,NC,28712,35.23304064,-82.73458421,Business,201
43,S BROAD ST,BREVARD,NC,28712,35.23302357,-82.73454605,Business,202
43,S BROAD ST,BREVARD,NC,28712,35.23300158,-82.73451618,Business,203
43,S BROAD ST,BREVARD,NC,28712,35.23299874,-82.73460821,Apartment,301
43,S BROAD ST,BREVARD,NC,28712,35.23297734,-82.73458395,Apartment,302
43,S BROAD ST,BREVARD,NC,28712,35.23295376,-82.73455588,Apartment,303
43,S BROAD ST,BREVARD,NC,28712,35.2329418,-82.73452275,Apartment,304
43,S BROAD ST,BREVARD,NC,28712,35.23293167,-82.7345046,Apartment,305
201,JORDAN RD,BREVARD,NC,28712,35.22100286,-82.73127567,Apartment,
1271,PINE MOUNTAIN TRL,BREVARD,NC,28712,35.2607142,-82.73021,House,
660,DEERLAKE RD,BREVARD,NC,28712,35.25297808,-82.73119627,House,
224,BURRELL AVE,BREVARD,NC,28712,35.24382202,-82.73247876,House,
230,BURRELL AVE,BREVARD,NC,28712,35.24394598,-82.73237877,House,
245,S RICE ST,BREVARD,NC,28712,35.22976697,-82.73373913,House,
235,S RICE ST,BREVARD,NC,28712,35.2297004,-82.73354525,House,
225,S RICE ST,BREVARD,NC,28712,35.2296557,-82.73338495,House,
710,DEERLAKE RD,BREVARD,NC,28712,35.25240173,-82.73200369,House,
35,S BROAD ST,BREVARD,NC,28712,35.23316531,-82.73433184,Business,
27,BURNING BUSH LN,BREVARD,NC,28712,35.21536267,-82.72907282,House,
100,BURNING BUSH LN,BREVARD,NC,28712,35.21513605,-82.73101501,House,
181,BURNING BUSH LN,BREVARD,NC,28712,35.2146839,-82.73043007,House,
124,GOOD EITHER WAY,BREVARD,NC,28712,35.26974649,-82.72919028,House,
226,GOOD EITHER WAY,BREVARD,NC,28712,35.2712802,-82.72960981,House,
112,E JORDAN ST,BREVARD,NC,28712,35.23150997,-82.73201378,Other,
102,E FRENCH BROAD ST,BREVARD,NC,28712,35.23559264,-82.73060351,House,
812,SUGAR LOAF RD,BREVARD,NC,28712,35.21170258,-82.72879606,House,
390,RAILROAD AVE,BREVARD,NC,28712,35.24065044,-82.73389497,Other,
196,BURRELL AVE,BREVARD,NC,28712,35.24351913,-82.73271097,House,
186,BURRELL AVE,BREVARD,NC,28712,35.24340407,-82.73277645,House,
115,E MORGAN ST,BREVARD,NC,28712,35.23162378,-82.73307415,House,
73,OVERLOOK DR,BREVARD,NC,28712,35.2204462,-82.73205705,House,
19,GARDENIA LN,BREVARD,NC,28712,35.22889934,-82.73312178,House,
25,GARDENIA LN,BREVARD,NC,28712,35.22901795,-82.73312198,House,
31,GARDENIA LN,BREVARD,NC,28712,35.22913872,-82.73311714,House,
518,FISHER RD,BREVARD,NC,28712,35.24471597,-82.73156724,House,
106,E MORGAN ST,BREVARD,NC,28712,35.23123495,-82.73376647,Other,
102,COLLEGE STATION DR,BREVARD,NC,28712,35.23962827,-82.73137353,Business,
123,E MAIN ST,BREVARD,NC,28712,35.23316841,-82.73216689,Business,
144,MOUNTAIN GLEN DR,BREVARD,NC,28712,35.22016192,-82.73070571,Apartment,
130,MOUNTAIN GLEN DR,BREVARD,NC,28712,35.22038664,-82.73053917,Apartment,
114,MOUNTAIN GLEN DR,BREVARD,NC,28712,35.2203626,-82.7301425,Apartment,
98,MOUNTAIN GLEN DR,BREVARD,NC,28712,35.22074686,-82.73012753,Apartment,
74,MOUNTAIN GLEN DR,BREVARD,NC,28712,35.2209785,-82.72987637,Apartment,
