Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
10,AMATO DR,BREVARD,NC,28712,35.21051097,-82.75401331,House, 
50,AMATO DR,BREVARD,NC,28712,35.21100594,-82.75379194,House, 
61,AMATO DR,BREVARD,NC,28712,35.21084801,-82.75331895,House, 
19,ANDANTE LN,BREVARD,NC,28712,35.24003021,-82.74803995,House, 
37,ANDANTE LN,BREVARD,NC,28712,35.24024751,-82.74810803,House, 
43,ANDANTE LN,BREVARD,NC,28712,35.2403401,-82.74815049,House, 
217,ANDANTE LN,BREVARD,NC,28712,35.24203687,-82.7497328,House, 
241,ANDANTE LN,BREVARD,NC,28712,35.24221677,-82.75005457,House, 
261,ANDANTE LN,BREVARD,NC,28712,35.24236327,-82.75034179,House, 
284,ANDANTE LN,BREVARD,NC,28712,35.24292917,-82.75112514,House, 
287,ANDANTE LN,BREVARD,NC,28712,35.24251452,-82.7506979,House, 
299,ANDANTE LN,BREVARD,NC,28712,35.24239148,-82.75119022,House, 
300,ANDANTE LN,BREVARD,NC,28712,35.24278248,-82.75130843,House, 
304,ANDANTE LN,BREVARD,NC,28712,35.2426545,-82.75148738,House, 
325,ANDANTE LN,BREVARD,NC,28712,35.2422869,-82.75163987,House, 
349,ANDANTE LN,BREVARD,NC,28712,35.24193883,-82.75196259,House, 
351,ANDANTE LN,BREVARD,NC,28712,35.24179318,-82.75236435,House, 
379,ANDANTE LN,BREVARD,NC,28712,35.24190381,-82.75281458,House, 
27,APPLEBROOK LN,BREVARD,NC,28712,35.24085692,-82.7477981,House, 
28,APPLEBROOK LN,BREVARD,NC,28712,35.24088181,-82.74759946,House, 
39,APPLEBROOK LN,BREVARD,NC,28712,35.24106015,-82.74787529,House, 
40,APPLEBROOK LN,BREVARD,NC,28712,35.24115106,-82.74762501,House, 
49,APPLEBROOK LN,BREVARD,NC,28712,35.24147933,-82.74803265,House, 
63,APPLEBROOK LN,BREVARD,NC,28712,35.24139243,-82.7474988,House, 
65,APPLEBROOK LN,BREVARD,NC,28712,35.24150188,-82.74755789,House, 
68,APPLEBROOK LN,BREVARD,NC,28712,35.24127874,-82.74725331,House, 
92,APPLEBROOK LN,BREVARD,NC,28712,35.24142134,-82.74704882,House, 
103,APPLEBROOK LN,BREVARD,NC,28712,35.24157449,-82.74719884,House, 
108,APPLEBROOK LN,BREVARD,NC,28712,35.24153375,-82.74677179,House, 
