Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
182,HILLVIEW AVE,BREVARD,NC,28712,35.23251082,-82.74666302,Apartment,
235,HILLVIEW AVE,BREVARD,NC,28712,35.23179128,-82.74712308,Apartment,
121,UNITY DR,BREVARD,NC,28712,35.23076069,-82.74538197,Apartment,
6,KADEN LN,BREVARD,NC,28712,35.23231194,-82.74903711,House,
32,KADEN LN,BREVARD,NC,28712,35.23252624,-82.74920755,House,
44,KADEN LN,BREVARD,NC,28712,35.23281685,-82.74931868,House,
400,BURRELL MOUNTAIN RD,BREVARD,NC,28712,35.24466917,-82.74614288,House,
370,BURRELL MOUNTAIN RD,BREVARD,NC,28712,35.24451647,-82.74571718,House,
845,ROSMAN HWY,BREVARD,NC,28712,35.21978952,-82.74874142,House,
72,BUCKEYE TRL,BREVARD,NC,28712,35.23937421,-82.74515745,House,
80,BUCKEYE TRL,BREVARD,NC,28712,35.23930093,-82.74525008,House,
210,DUNK'S END,BREVARD,NC,28712,35.22484247,-82.74983609,Other,
95,BUCKEYE TRL,BREVARD,NC,28712,35.238884,-82.745369,House,
19,GOLDFISH BOWL TRL,BREVARD,NC,28712,35.227008,-82.752124,Other,
520,BURRELL MOUNTAIN RD,BREVARD,NC,28712,35.245476,-82.746946,House,
522,BURRELL MOUNTAIN RD,BREVARD,NC,28712,35.246601,-82.748778,House,
77,KADEN LN,BREVARD,NC,28712,35.232738,-82.750042,House,
80,QUARTET LN,BREVARD,NC,28712,35.242302,-82.747287,Other,
80,NICHOLSON CREEK RD,BREVARD,NC,28712,35.227898,-82.745886,Other,
15,CHINQUAPIN RD,BREVARD,NC,28712,35.213912,-82.745729,House,
1106,ROSMAN HWY,BREVARD,NC,28712,35.21699,-82.752831,Business,
272,GLAZENER RD,BREVARD,NC,28712,35.219057,-82.745129,House,
222,WEE WASHIE WAY,BREVARD,NC,28712,35.224928,-82.750754,Other,
931,ROSMAN HWY,BREVARD,NC,28712,35.218167,-82.749702,Business,
333,TIP TOP RD,BREVARD,NC,28712,35.218403,-82.754977,Other,
365,ANDANTE LN,BREVARD,NC,28712,35.242041,-82.752262,Other,
79,KADEN LN,BREVARD,NC,28712,35.232968,-82.750216,House,
120,ILLAHEE RD,BREVARD,NC,28712,35.214089,-82.754715,House,
551,ILLAHEE RD,BREVARD,NC,28712,35.210743,-82.749165,House,
876,ROSMAN HWY,BREVARD,NC,28712,35.219369,-82.749945,House,
861,ROSMAN HWY,BREVARD,NC,28712,35.218809,-82.749262,Business,
