Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
20,ASH LN,PISGAH FOREST,NC,28768,35.20990866,-82.69894305,House, 
64,ASH LN,PISGAH FOREST,NC,28768,35.20982553,-82.69982152,House, 
80,ASH LN,PISGAH FOREST,NC,28768,35.20961861,-82.7001519,House, 
109,BARCLAY RD,BREVARD,NC,28712,35.20214812,-82.74136312,House, 
210,BARCLAY RD,BREVARD,NC,28712,35.20156641,-82.73974017,House, 
9,BEAR TRACK TRL,BREVARD,NC,28712,35.20795834,-82.70820449,House, 
24,BEAR TRACK TRL,BREVARD,NC,28712,35.2081573,-82.70881135,House, 
41,BEAR TRACK TRL,BREVARD,NC,28712,35.2074904,-82.70841111,House, 
75,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.20597295,-82.71513874,House, 
79,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.20591216,-82.71514352,House, 
487,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.20193737,-82.71440757,House, 
563,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.20038203,-82.71399478,House, 
10,BEECH LN,BREVARD,NC,28712,35.2013526,-82.74241506,House, 
76,BEECH LN,BREVARD,NC,28712,35.20076717,-82.74247521,House, 
20,BEECHWOOD LN,PISGAH FOREST,NC,28768,35.20921368,-82.69895623,House, 
21,BEECHWOOD LN,PISGAH FOREST,NC,28768,35.20890395,-82.69861802,House, 
34,BEECHWOOD LN,PISGAH FOREST,NC,28768,35.20891358,-82.69923666,House, 
27,BIRCH LN,PISGAH FOREST,NC,28768,35.20977179,-82.69757827,House, 
120,BOOZER RD,BREVARD,NC,28712,35.20588522,-82.69882536,House, 
53,BUD SMITH LN,BREVARD,NC,28712,35.20867895,-82.7251629,House, 
63,BUD SMITH LN,BREVARD,NC,28712,35.20861229,-82.72540927,House, 
80,BUD SMITH LN,BREVARD,NC,28712,35.2088948,-82.72552724,House, 
115,BUD SMITH LN,BREVARD,NC,28712,35.20904715,-82.72598936,House, 
11,CARDINAL DR,BREVARD,NC,28712,35.2064547,-82.74600062,House, 
24,CARDINAL DR,BREVARD,NC,28712,35.20719874,-82.74647651,House, 
55,CARDINAL DR,BREVARD,NC,28712,35.20624843,-82.74653241,House, 
70,CARDINAL DR,BREVARD,NC,28712,35.20696525,-82.74777114,House, 
125,CARDINAL DR,BREVARD,NC,28712,35.20603519,-82.74751623,House, 
130,CARDINAL DR,BREVARD,NC,28712,35.20681936,-82.74862989,House, 
145,CARDINAL DR,BREVARD,NC,28712,35.20577882,-82.74797127,House, 
195,CARDINAL DR,BREVARD,NC,28712,35.205658,-82.74871659,House, 
247,CARDINAL DR,BREVARD,NC,28712,35.20551222,-82.74919974,House, 
297,CARDINAL DR,BREVARD,NC,28712,35.20522066,-82.74974096,House, 
307,CARDINAL DR,BREVARD,NC,28712,35.20495476,-82.7503277,House, 
310,CARDINAL DR,BREVARD,NC,28712,35.20693408,-82.75055231,House, 
439,CARDINAL DR,BREVARD,NC,28712,35.20405599,-82.75096161,House, 
501,CARDINAL DR,BREVARD,NC,28712,35.20309048,-82.75207951,House, 
520,CARDINAL DR,BREVARD,NC,28712,35.20424571,-82.75242356,House, 
547,CARDINAL DR,BREVARD,NC,28712,35.20320888,-82.75380402,House, 
701,CARDINAL DR,BREVARD,NC,28712,35.202824,-82.75422807,House, 
709,CARDINAL DR,BREVARD,NC,28712,35.20264695,-82.75373423,House, 
749,CARDINAL DR,BREVARD,NC,28712,35.20259296,-82.75317513,House, 
766,CARDINAL DR,BREVARD,NC,28712,35.20186544,-82.75335913,House, 
781,CARDINAL DR,BREVARD,NC,28712,35.20253578,-82.752704,House, 
917,CARDINAL DR,BREVARD,NC,28712,35.20229216,-82.75154595,House, 
932,CARDINAL DR,BREVARD,NC,28712,35.20144138,-82.75081702,House, 
941,CARDINAL DR,BREVARD,NC,28712,35.20245805,-82.74975049,House, 
629,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.20926432,-82.67339382,House, 
649,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.20800069,-82.6714599,House, 
691,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.20847444,-82.67369317,House, 
710,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.20902837,-82.67476716,House, 
804,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.2069393,-82.6764885,House, 
860,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.20622617,-82.67499172,House, 
968,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.20664323,-82.67245088,House, 
999,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.20670863,-82.67323283,House, 
1007,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.20766638,-82.67355502,House, 
1027,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.20746086,-82.67318375,House, 
1100,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.20680609,-82.67154757,House, 
1241,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.20750727,-82.67009193,House, 
1291,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.20747904,-82.66850052,House, 
1440,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.20824739,-82.6678805,House, 
1489,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.2079004,-82.66940988,House, 
1525,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.20844125,-82.66966622,House, 
1671,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.20926745,-82.67107186,House, 
1697,CHERRYWOOD LN,PISGAH FOREST,NC,28768,35.20983612,-82.67155943,House, 
209,CHESTNUT OAK LN,PISGAH FOREST,NC,28768,35.20429349,-82.66685429,House, 
64,CHICKADEE LN,BREVARD,NC,28712,35.20542344,-82.74759747,House, 
105,CHICKADEE LN,BREVARD,NC,28712,35.20469669,-82.74740886,House, 
106,CHICKADEE LN,BREVARD,NC,28712,35.20520843,-82.74815367,House, 
142,CHICKADEE LN,BREVARD,NC,28712,35.20502271,-82.7487142,House, 
162,CHICKADEE LN,BREVARD,NC,28712,35.20467922,-82.74930681,House, 
163,CHICKADEE LN,BREVARD,NC,28712,35.20416294,-82.74842451,House, 
204,CHICKADEE LN,BREVARD,NC,28712,35.2044186,-82.74994102,House, 
232,CHICKADEE LN,BREVARD,NC,28712,35.2037663,-82.75008027,House, 
245,CHICKADEE LN,BREVARD,NC,28712,35.20378966,-82.74937331,House, 
264,CHICKADEE LN,BREVARD,NC,28712,35.20303843,-82.75065555,House, 
301,CHICKADEE LN,BREVARD,NC,28712,35.20356637,-82.74868383,House, 
322,CHICKADEE LN,BREVARD,NC,28712,35.20308367,-82.74934537,House, 
331,CHICKADEE LN,BREVARD,NC,28712,35.2031756,-82.74826271,House, 
362,CHICKADEE LN,BREVARD,NC,28712,35.20264766,-82.74810737,House, 
365,CHICKADEE LN,BREVARD,NC,28712,35.20293197,-82.74788298,House, 
376,CHICKADEE LN,BREVARD,NC,28712,35.20250883,-82.74843811,House, 
421,CHICKADEE LN,BREVARD,NC,28712,35.20259608,-82.74694515,House, 
456,CHICKADEE LN,BREVARD,NC,28712,35.20215828,-82.74744476,House, 
470,CHICKADEE LN,BREVARD,NC,28712,35.20176825,-82.74780031,House, 
520,CHICKADEE LN,BREVARD,NC,28712,35.20147047,-82.74802923,House, 
538,CHICKADEE LN,BREVARD,NC,28712,35.20110948,-82.74838446,House, 
540,CHICKADEE LN,BREVARD,NC,28712,35.2006045,-82.74847281,House, 
59,COUNTRY CLUB CIR,BREVARD,NC,28712,35.20830413,-82.74075873,House, 
78,COUNTRY CLUB CIR,BREVARD,NC,28712,35.20899982,-82.7408999,House, 
97,COUNTRY CLUB CIR,BREVARD,NC,28712,35.20845947,-82.74150207,House, 
180,COUNTRY CLUB CIR,BREVARD,NC,28712,35.20929016,-82.74305925,House, 
214,COUNTRY CLUB CIR,BREVARD,NC,28712,35.20878751,-82.74320537,House, 
239,COUNTRY CLUB CIR,BREVARD,NC,28712,35.20770668,-82.74189291,House, 
240,COUNTRY CLUB CIR,BREVARD,NC,28712,35.20834752,-82.74326331,House, 
247,COUNTRY CLUB CIR,BREVARD,NC,28712,35.20780731,-82.74261059,House, 
270,COUNTRY CLUB CIR,BREVARD,NC,28712,35.20794228,-82.74338651,House, 
284,COUNTRY CLUB CIR,BREVARD,NC,28712,35.20762082,-82.74341144,House, 
305,COUNTRY CLUB CIR,BREVARD,NC,28712,35.20733627,-82.7428005,House, 
324,COUNTRY CLUB CIR,BREVARD,NC,28712,35.20735032,-82.74361141,House, 
325,COUNTRY CLUB CIR,BREVARD,NC,28712,35.20689159,-82.74330269,House, 
351,COUNTRY CLUB CIR,BREVARD,NC,28712,35.20662352,-82.74283978,House, 
64,COUNTRY CLUB CIR,BREVARD,NC,28712,35.20878908,-82.74062675,House,UNIT A
64,COUNTRY CLUB CIR,BREVARD,NC,28712,35.20878908,-82.74062675,House,UNIT B
167,COUNTRY LN,BREVARD,NC,28712,35.20981404,-82.7366866,House, 
190,COUNTRY LN,BREVARD,NC,28712,35.20964516,-82.73733952,House, 
241,COUNTRY LN,BREVARD,NC,28712,35.20885495,-82.73775678,House, 
717,CRESTVIEW DR,BREVARD,NC,28712,35.2092668,-82.70838755,House, 
750,CRESTVIEW DR,BREVARD,NC,28712,35.20880114,-82.70872622,House, 
779,CRESTVIEW DR,BREVARD,NC,28712,35.20884663,-82.708284,House, 
811,CRESTVIEW DR,BREVARD,NC,28712,35.20833264,-82.70771791,House, 
834,CRESTVIEW DR,BREVARD,NC,28712,35.20764938,-82.70774952,House, 
860,CRESTVIEW DR,BREVARD,NC,28712,35.20761288,-82.70729882,House, 
888,CRESTVIEW DR,BREVARD,NC,28712,35.20744681,-82.70682966,House, 
897,CRESTVIEW DR,BREVARD,NC,28712,35.20822587,-82.70671889,House, 
900,CRESTVIEW DR,BREVARD,NC,28712,35.20742782,-82.70639121,House, 
926,CRESTVIEW DR,BREVARD,NC,28712,35.20783302,-82.70555139,House, 
235,DEERWOODE LN,BREVARD,NC,28712,35.20980709,-82.7355646,House, 
241,DEERWOODE LN,BREVARD,NC,28712,35.20946508,-82.73560477,House, 
295,DEERWOODE LN,BREVARD,NC,28712,35.20893046,-82.73567032,House, 
300,DEERWOODE LN,BREVARD,NC,28712,35.20763656,-82.73622155,House, 
321,DEERWOODE LN,BREVARD,NC,28712,35.20858585,-82.73546581,House, 
40,DOUBLE RIDGE RD,PISGAH FOREST,NC,28768,35.20872582,-82.688177,House, 
97,DOUBLE RIDGE RD,PISGAH FOREST,NC,28768,35.20996399,-82.68817024,House, 
115,DOUBLE RIDGE RD,PISGAH FOREST,NC,28768,35.20988691,-82.68728516,House, 
172,DOUBLE RIDGE RD,PISGAH FOREST,NC,28768,35.20831801,-82.6867632,House, 
214,DOUBLE RIDGE RD,PISGAH FOREST,NC,28768,35.20843074,-82.68558111,House, 
60,E FALLS VIEW DR,PISGAH FOREST,NC,28768,35.20822354,-82.67563461,House, 
62,E FALLS VIEW DR,PISGAH FOREST,NC,28768,35.20892186,-82.67546001,House, 
162,E FALLS VIEW DR,PISGAH FOREST,NC,28768,35.20883111,-82.67678939,House, 
164,E FALLS VIEW DR,PISGAH FOREST,NC,28768,35.20932561,-82.67684344,House, 
196,E FALLS VIEW DR,PISGAH FOREST,NC,28768,35.20898982,-82.67847456,House, 
215,E FALLS VIEW DR,PISGAH FOREST,NC,28768,35.20841583,-82.67832589,House, 
366,E FALLS VIEW DR,PISGAH FOREST,NC,28768,35.2063388,-82.6790515,House, 
51,EAGLE CIR,BREVARD,NC,28712,35.20120658,-82.75261046,House, 
111,EAGLE CIR,BREVARD,NC,28712,35.20086868,-82.75184171,House, 
351,EVERGREEN ST,BREVARD,NC,28712,35.20983818,-82.7430248,House, 
387,EVERGREEN ST,BREVARD,NC,28712,35.2095179,-82.74255047,House, 
399,EVERGREEN ST,BREVARD,NC,28712,35.20937281,-82.74242499,House, 
61,FIREFLY LN,PISGAH FOREST,NC,28768,35.20894055,-82.66095607,House, 
91,FIREFLY LN,PISGAH FOREST,NC,28768,35.20943446,-82.65927839,House, 
110,FIREFLY LN,PISGAH FOREST,NC,28768,35.20768991,-82.65960724,House, 
207,FIREFLY LN,PISGAH FOREST,NC,28768,35.20851814,-82.65678799,House, 
231,FIREFLY LN,PISGAH FOREST,NC,28768,35.20695019,-82.65767806,House, 
359,FIREFLY LN,PISGAH FOREST,NC,28768,35.20508988,-82.65685127,House, 
1690,GREENVILLE HWY,BREVARD,NC,28712,35.20953178,-82.71508558,House, 
1737,GREENVILLE HWY,BREVARD,NC,28712,35.20872947,-82.71489994,House, 
1750,GREENVILLE HWY,BREVARD,NC,28712,35.20872302,-82.71555888,House, 
1840,GREENVILLE HWY,BREVARD,NC,28712,35.20750172,-82.71588556,House, 
2233,GREENVILLE HWY,BREVARD,NC,28712,35.20183464,-82.71703647,House, 
48,HEAVENS VIEW PT,BREVARD,NC,28712,35.20985942,-82.71086486,House, 
42,HIGH RIDGE RD,PISGAH FOREST,NC,28768,35.20962581,-82.69530029,House, 
296,HIGH RIDGE RD,PISGAH FOREST,NC,28768,35.20864238,-82.691379,House, 
297,HIGH RIDGE RD,PISGAH FOREST,NC,28768,35.20922251,-82.69142535,House, 
315,HIGH RIDGE RD,PISGAH FOREST,NC,28768,35.20946362,-82.69077643,House, 
336,HIGH RIDGE RD,PISGAH FOREST,NC,28768,35.20754493,-82.69094897,House, 
356,HIGH RIDGE RD,PISGAH FOREST,NC,28768,35.20779426,-82.69004638,House, 
179,ILLAHEE PT,BREVARD,NC,28712,35.20967759,-82.75484114,House, 
1000,ILLAHEE RD,BREVARD,NC,28712,35.2061387,-82.74533619,House, 
1050,ILLAHEE RD,BREVARD,NC,28712,35.2057124,-82.74494108,House, 
1100,ILLAHEE RD,BREVARD,NC,28712,35.20524883,-82.74432792,House, 
14,JUNCO LN,BREVARD,NC,28712,35.20455799,-82.7437673,House, 
32,JUNCO LN,BREVARD,NC,28712,35.20446308,-82.74413117,House, 
50,JUNCO LN,BREVARD,NC,28712,35.20422587,-82.74429814,House, 
94,JUNCO LN,BREVARD,NC,28712,35.20391503,-82.74503774,House, 
112,JUNCO LN,BREVARD,NC,28712,35.20358847,-82.7454199,House, 
116,JUNCO LN,BREVARD,NC,28712,35.20333826,-82.74474831,House, 
148,JUNCO LN,BREVARD,NC,28712,35.20314588,-82.74432568,House, 
178,JUNCO LN,BREVARD,NC,28712,35.20293647,-82.74376889,House, 
194,JUNCO LN,BREVARD,NC,28712,35.20282689,-82.74337821,House, 
81,KINGFISHER RD,BREVARD,NC,28712,35.20517958,-82.75355343,House, 
107,KINGFISHER RD,BREVARD,NC,28712,35.2066154,-82.75343498,House, 
110,KINGFISHER RD,BREVARD,NC,28712,35.20509115,-82.75229383,House, 
167,KINGFISHER RD,BREVARD,NC,28712,35.20615697,-82.75260278,House, 
178,KINGFISHER RD,BREVARD,NC,28712,35.20568038,-82.75156319,House, 
207,KINGFISHER RD,BREVARD,NC,28712,35.20666214,-82.75152933,House, 
50,LAURELWOOD LN,PISGAH FOREST,NC,28768,35.20861556,-82.69711706,House, 
99,LAURELWOOD LN,PISGAH FOREST,NC,28768,35.20755039,-82.69648555,House, 
271,LAURELWOOD LN,PISGAH FOREST,NC,28768,35.2074093,-82.69834715,House, 
36,LITTLE BEAR LN,PISGAH FOREST,NC,28768,35.20801561,-82.67985609,House, 
95,LITTLE BEAR LN,PISGAH FOREST,NC,28768,35.20677157,-82.68030489,House, 
118,LITTLE BEAR LN,PISGAH FOREST,NC,28768,35.20766502,-82.68063863,House, 
292,MEADOWBROOK CIR,BREVARD,NC,28712,35.20996332,-82.74027422,House, 
300,MEADOWBROOK CIR,BREVARD,NC,28712,35.20984672,-82.74027246,House, 
330,MEADOWBROOK CIR,BREVARD,NC,28712,35.20938073,-82.7403542,House, 
340,MEADOWBROOK CIR,BREVARD,NC,28712,35.20903271,-82.74021734,House, 
97,MILL COVE RD,BREVARD,NC,28712,35.20471542,-82.71323506,House, 
157,MILL COVE RD,BREVARD,NC,28712,35.20447202,-82.71225987,House, 
281,MILL COVE RD,BREVARD,NC,28712,35.20340452,-82.71068782,House, 
309,MILL COVE RD,BREVARD,NC,28712,35.2032407,-82.70950521,House, 
14,MOCKINGBIRD LN,BREVARD,NC,28712,35.20198791,-82.75433135,House, 
15,MOCKINGBIRD LN,BREVARD,NC,28712,35.20124725,-82.75384056,House, 
41,MOCKINGBIRD LN,BREVARD,NC,28712,35.20151983,-82.75451016,House, 
1204,N COUNTRY CLUB RD,BREVARD,NC,28712,35.20957462,-82.73903444,House, 
1207,N COUNTRY CLUB RD,BREVARD,NC,28712,35.209791,-82.73834573,House, 
1228,N COUNTRY CLUB RD,BREVARD,NC,28712,35.20923471,-82.73912575,House, 
1306,N COUNTRY CLUB RD,BREVARD,NC,28712,35.20890764,-82.73956923,House, 
1325,N COUNTRY CLUB RD,BREVARD,NC,28712,35.20801873,-82.73872967,House, 
1621,N COUNTRY CLUB RD,BREVARD,NC,28712,35.20521414,-82.74343331,House, 
1659,N COUNTRY CLUB RD,BREVARD,NC,28712,35.2049823,-82.74334614,House, 
1675,N COUNTRY CLUB RD,BREVARD,NC,28712,35.20480204,-82.74326494,House, 
1695,N COUNTRY CLUB RD,BREVARD,NC,28712,35.20454945,-82.74312633,House, 
1710,N COUNTRY CLUB RD,BREVARD,NC,28712,35.20504742,-82.74388846,House, 
163,OLD HEATH RD,BREVARD,NC,28712,35.20733241,-82.69991705,House, 
177,OLD HEATH RD,BREVARD,NC,28712,35.20755014,-82.70002632,House, 
187,OLD HEATH RD,BREVARD,NC,28712,35.20762385,-82.7002087,House, 
190,OLD HEATH RD,BREVARD,NC,28712,35.2076519,-82.69964555,House, 
193,OLD HEATH RD,BREVARD,NC,28712,35.20776903,-82.70015924,House, 
225,OLD HEATH RD,BREVARD,NC,28712,35.20799127,-82.69921623,House, 
61,OLD KNOB RD,PISGAH FOREST,NC,28768,35.20924791,-82.69524065,House, 
97,OLD KNOB RD,PISGAH FOREST,NC,28768,35.20880412,-82.69590017,House, 
99,OLD KNOB RD,PISGAH FOREST,NC,28768,35.20840344,-82.69581006,House, 
53,PALISADES DR,BREVARD,NC,28712,35.20544194,-82.70367582,House, 
62,PALISADES DR,BREVARD,NC,28712,35.205899,-82.70388782,House, 
77,PALISADES DR,BREVARD,NC,28712,35.20555061,-82.70415536,House, 
105,PALISADES DR,BREVARD,NC,28712,35.20583178,-82.70443477,House, 
125,PALISADES DR,BREVARD,NC,28712,35.20634678,-82.70474,House, 
903,POLE MILLER EXT,BREVARD,NC,28712,35.20011357,-82.75468318,House, 
159,RED MAPLE LN,PISGAH FOREST,NC,28768,35.20873412,-82.66426694,House, 
34,REEVES RD,BREVARD,NC,28712,35.20333077,-82.71525933,House, 
86,REEVES RD,BREVARD,NC,28712,35.20296995,-82.71383112,House, 
229,REEVES RD,BREVARD,NC,28712,35.20212442,-82.71174148,House, 
64,RICH MOUNTAIN RD,BREVARD,NC,28712,35.20705506,-82.71393741,House, 
93,RICH MOUNTAIN RD,BREVARD,NC,28712,35.20764446,-82.71485068,House, 
