Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
120,S COUNTRY CLUB RD,BREVARD,NC,28712,35.20270015,-82.74573227,House, 
143,S COUNTRY CLUB RD,BREVARD,NC,28712,35.2013507,-82.74400177,House, 
163,S COUNTRY CLUB RD,BREVARD,NC,28712,35.20025703,-82.74440033,House, 
278,S COUNTRY CLUB RD,BREVARD,NC,28712,35.20158969,-82.74598119,House, 
280,S COUNTRY CLUB RD,BREVARD,NC,28712,35.20127854,-82.74667383,House, 
298,S COUNTRY CLUB RD,BREVARD,NC,28712,35.20061311,-82.74760291,House, 
309,S COUNTRY CLUB RD,BREVARD,NC,28712,35.20023628,-82.74638476,House, 
30,SAM LANCE RD,BREVARD,NC,28712,35.20974295,-82.75425573,House, 
37,SAM LANCE RD,BREVARD,NC,28712,35.20958169,-82.75362383,House, 
76,SAM LANCE RD,BREVARD,NC,28712,35.20942391,-82.75448363,House, 
82,SAM LANCE RD,BREVARD,NC,28712,35.20937785,-82.75487862,House, 
84,SAM LANCE RD,BREVARD,NC,28712,35.2088966,-82.7546734,House, 
86,SAM LANCE RD,BREVARD,NC,28712,35.20882904,-82.75443517,House, 
127,SAM LANCE RD,BREVARD,NC,28712,35.20890275,-82.754042,House, 
143,SAM LANCE RD,BREVARD,NC,28712,35.20876476,-82.75383645,House, 
170,SAM LANCE RD,BREVARD,NC,28712,35.20760841,-82.75379511,House, 
232,SAM LANCE RD,BREVARD,NC,28712,35.20725062,-82.75387982,House, 
286,SAM LANCE RD,BREVARD,NC,28712,35.20721573,-82.75481871,House, 
146,SASSAFRAS LN,PISGAH FOREST,NC,28768,35.2036716,-82.65992,House, 
19,STAGHORN LN,BREVARD,NC,28712,35.2078379,-82.70199457,House, 
131,STONERIDGE LN,PISGAH FOREST,NC,28768,35.20957193,-82.66811752,House, 
132,STONERIDGE LN,PISGAH FOREST,NC,28768,35.20985124,-82.66718361,House, 
466,SWEETWATER LN,PISGAH FOREST,NC,28768,35.20973817,-82.68339548,House, 
520,SWEETWATER LN,PISGAH FOREST,NC,28768,35.20929595,-82.6824787,House, 
624,SWEETWATER LN,PISGAH FOREST,NC,28768,35.20888343,-82.68136534,House, 
631,SWEETWATER LN,PISGAH FOREST,NC,28768,35.20906827,-82.68023655,House, 
34,SYLVAN BYWY,PISGAH FOREST,NC,28768,35.20640798,-82.66800536,House, 
117,SYLVAN BYWY,PISGAH FOREST,NC,28768,35.20662996,-82.66637618,House, 
265,SYLVAN BYWY,PISGAH FOREST,NC,28768,35.20638114,-82.6653835,House, 
395,SYLVAN BYWY,PISGAH FOREST,NC,28768,35.20754435,-82.66312982,House, 
861,SYLVAN BYWY,PISGAH FOREST,NC,28768,35.20242558,-82.66022348,House, 
977,SYLVAN BYWY,PISGAH FOREST,NC,28768,35.20291272,-82.66255146,House, 
979,SYLVAN BYWY,PISGAH FOREST,NC,28768,35.20120695,-82.66226573,House, 
994,SYLVAN BYWY,PISGAH FOREST,NC,28768,35.20268355,-82.66506911,House, 
1100,SYLVAN BYWY,PISGAH FOREST,NC,28768,35.20112488,-82.66527011,House, 
50,TOWHEE LN,BREVARD,NC,28712,35.20570381,-82.74701275,House, 
110,TOWHEE LN,BREVARD,NC,28712,35.20518617,-82.74586867,House, 
180,TOWHEE LN,BREVARD,NC,28712,35.20481531,-82.74614367,House, 
207,TOWHEE LN,BREVARD,NC,28712,35.2045142,-82.74542886,House, 
35,TULIP TREE LN,PISGAH FOREST,NC,28768,35.20779945,-82.66751874,House, 
22,WINDSONG LN,BREVARD,NC,28712,35.20751826,-82.70252886,House, 
123,WINDSONG LN,BREVARD,NC,28712,35.20678955,-82.70385518,House, 
43,WITTLE LN,BREVARD,NC,28712,35.20572521,-82.6952074,House, 
81,WITTLE LN,BREVARD,NC,28712,35.20608259,-82.69492391,House, 
83,WITTLE LN,BREVARD,NC,28712,35.20620835,-82.69485282,House, 
136,WITTLE LN,BREVARD,NC,28712,35.20682115,-82.69428061,House, 
40,WOODWIND DR,PISGAH FOREST,NC,28768,35.20971424,-82.69650706,House, 
125,WOODWIND DR,PISGAH FOREST,NC,28768,35.20888212,-82.69767466,House, 
172,WOODWIND DR,PISGAH FOREST,NC,28768,35.20953514,-82.69763835,House, 
176,WOODWIND DR,PISGAH FOREST,NC,28768,35.20930274,-82.69780265,House, 
284,WOODWIND DR,PISGAH FOREST,NC,28768,35.20957303,-82.69926008,House, 
308,WOODWIND DR,PISGAH FOREST,NC,28768,35.20935457,-82.69956071,House, 
330,WOODWIND DR,PISGAH FOREST,NC,28768,35.20916569,-82.69990696,House, 
