Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
74,SELICA RD,BREVARD,NC,28712,35.207759,-82.766251,Other,
354,ILLAHEE PT,BREVARD,NC,28712,35.210869,-82.756584,House,
672,CATHEY'S CREEK RD,BREVARD,NC,28712,35.20723,-82.777682,House,
20,BEAR'S PLACE DR,BREVARD,NC,28712,35.207517,-82.775289,House,
18,BEAR'S PLACE DR,BREVARD,NC,28712,35.207868,-82.775108,House,
100,BEAR'S PLACE DR,BREVARD,NC,28712,35.208437,-82.774995,House,
1511,CASHIERS VALLEY RD,BREVARD,NC,28712,35.222686,-82.758954,House,
92,BRACKENS CREEK DR,BREVARD,NC,28712,35.232705,-82.762342,Other,
94,BRACKENS CREEK DR,BREVARD,NC,28712,35.232835,-82.762348,Other,
136,BRACKENS CREEK DR,BREVARD,NC,28712,35.233357,-82.762254,Other,
142,BRACKENS CREEK DR,BREVARD,NC,28712,35.233448,-82.762142,Other,
150,BRACKENS CREEK DR,BREVARD,NC,28712,35.233593,-82.762207,Other,
156,BRACKENS CREEK DR,BREVARD,NC,28712,35.233625,-82.762066,Other,
166,BRACKENS CREEK DR,BREVARD,NC,28712,35.233779,-82.762027,Other,
168,BRACKENS CREEK DR,BREVARD,NC,28712,35.233892,-82.761997,Other,
210,BRACKENS CREEK DR,BREVARD,NC,28712,35.234245,-82.762004,Other,
212,BRACKENS CREEK DR,BREVARD,NC,28712,35.234121,-82.761807,Other,
214,BRACKENS CREEK DR,BREVARD,NC,28712,35.234228,-82.761694,Other,
216,BRACKENS CREEK DR,BREVARD,NC,28712,35.234441,-82.761727,Other,
240,BRACKENS CREEK DR,BREVARD,NC,28712,35.234643,-82.761629,Other,
242,BRACKENS CREEK DR,BREVARD,NC,28712,35.234749,-82.76152,Other,
264,BRACKENS CREEK DR,BREVARD,NC,28712,35.234989,-82.76141,Other,
289,BRACKENS CREEK DR,BREVARD,NC,28712,35.235489,-82.761251,Other,
327,BRACKENS CREEK DR,BREVARD,NC,28712,35.235113,-82.76099,Other,
329,BRACKENS CREEK DR,BREVARD,NC,28712,35.23486,-82.760764,Other,
345,BRACKENS CREEK DR,BREVARD,NC,28712,35.234734,-82.760663,Other,
347,BRACKENS CREEK DR,BREVARD,NC,28712,35.234625,-82.76059,Other,
364,BRACKENS CREEK DR,BREVARD,NC,28712,35.234239,-82.760733,Other,
718,LAKE SEGA RD,BREVARD,NC,28712,35.218102,-82.761743,Business,
245,PINNACLE RD,BREVARD,NC,28712,35.240579,-82.756883,House,
231,PINNACLE RD,BREVARD,NC,28712,35.240419,-82.756631,House,
221,PINNACLE RD,BREVARD,NC,28712,35.24044,-82.75635,House,
133,PINNACLE RD,BREVARD,NC,28712,35.240056,-82.755957,House,
1867,ROSMAN HWY,BREVARD,NC,28712,35.209772,-82.762734,Apartment,APT B
1867,ROSMAN HWY,BREVARD,NC,28712,35.209881,-82.762862,House,
