Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
34,ALFRED RD,BREVARD,NC,28712,35.19923165,-82.7183791,House, 
21,BARBERRY HTS,BREVARD,NC,28712,35.1912447,-82.76107046,House, 
44,BARBERRY HTS,BREVARD,NC,28712,35.19166142,-82.76128372,House, 
66,BARBERRY HTS,BREVARD,NC,28712,35.19185433,-82.76155068,House, 
70,BARBERRY HTS,BREVARD,NC,28712,35.19183503,-82.76309832,House, 
147,BARBERRY HTS,BREVARD,NC,28712,35.19032508,-82.76123963,House, 
188,BARBERRY HTS,BREVARD,NC,28712,35.19086296,-82.76200523,House, 
216,BARBERRY HTS,BREVARD,NC,28712,35.19098669,-82.76234705,House, 
226,BARBERRY HTS,BREVARD,NC,28712,35.191047,-82.76266536,House, 
260,BARBERRY HTS,BREVARD,NC,28712,35.19115861,-82.76373892,House, 
274,BARBERRY HTS,BREVARD,NC,28712,35.19060376,-82.76378821,House, 
320,BARBERRY HTS,BREVARD,NC,28712,35.19121086,-82.76466116,House, 
339,BARBERRY HTS,BREVARD,NC,28712,35.19022016,-82.76298823,House, 
361,BARBERRY HTS,BREVARD,NC,28712,35.18994872,-82.76251666,House, 
436,BARBERRY HTS,BREVARD,NC,28712,35.18971143,-82.7619604,House, 
439,BARBERRY HTS,BREVARD,NC,28712,35.19045323,-82.76201906,House, 
484,BARBERRY HTS,BREVARD,NC,28712,35.18984537,-82.7615142,House, 
506,BARBERRY HTS,BREVARD,NC,28712,35.18969926,-82.76110446,House, 
548,BARBERRY HTS,BREVARD,NC,28712,35.18988044,-82.76029528,House, 
163,BARCLAY FARM RD,BREVARD,NC,28712,35.19418147,-82.7296881,House, 
193,BARCLAY FARM RD,BREVARD,NC,28712,35.19322689,-82.72939524,House, 
407,BARCLAY FARM RD,BREVARD,NC,28712,35.19158162,-82.73110038,House, 
382,BARCLAY RD,BREVARD,NC,28712,35.19966058,-82.73961906,House, 
450,BARCLAY RD,BREVARD,NC,28712,35.19875251,-82.73997018,House, 
458,BARCLAY RD,BREVARD,NC,28712,35.19863233,-82.73995533,House, 
466,BARCLAY RD,BREVARD,NC,28712,35.19851124,-82.73991349,House, 
468,BARCLAY RD,BREVARD,NC,28712,35.19848058,-82.73989866,House, 
490,BARCLAY RD,BREVARD,NC,28712,35.19820952,-82.7397064,House, 
524,BARCLAY RD,BREVARD,NC,28712,35.19782785,-82.73937761,House, 
526,BARCLAY RD,BREVARD,NC,28712,35.19780577,-82.73935794,House, 
528,BARCLAY RD,BREVARD,NC,28712,35.19778369,-82.73933828,House, 
608,BARCLAY RD,BREVARD,NC,28712,35.1967245,-82.73833415,House, 
704,BARCLAY RD,BREVARD,NC,28712,35.19412126,-82.73656447,House, 
770,BARCLAY RD,BREVARD,NC,28712,35.19495498,-82.73622173,House, 
812,BARCLAY RD,BREVARD,NC,28712,35.19122179,-82.73502888,House, 
814,BARCLAY RD,BREVARD,NC,28712,35.18924206,-82.73485193,House, 
850,BARCLAY RD,BREVARD,NC,28712,35.19448094,-82.73431801,House, 
960,BARCLAY RD,BREVARD,NC,28712,35.19391717,-82.73178149,House, 
1163,BARCLAY RD,BREVARD,NC,28712,35.19849534,-82.73165117,House, 
1229,BARCLAY RD,BREVARD,NC,28712,35.19706999,-82.72864239,House, 
1340,BARCLAY RD,BREVARD,NC,28712,35.19660245,-82.72726074,House, 
1409,BARCLAY RD,BREVARD,NC,28712,35.19721581,-82.72676645,House, 
1411,BARCLAY RD,BREVARD,NC,28712,35.19655333,-82.72613349,House, 
1765,BARCLAY RD,BREVARD,NC,28712,35.1987766,-82.72099247,House, 
33,BEAR TRACE RD,BREVARD,NC,28712,35.18732897,-82.70454279,House, 
36,BEAR TRACE RD,BREVARD,NC,28712,35.18743568,-82.70316487,House, 
1360,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.19481795,-82.70945349,House, 
1398,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.19430652,-82.7093171,House, 
1428,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.19390107,-82.70911542,House, 
1460,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.19336327,-82.70839568,House, 
1462,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.19335013,-82.70836639,House, 
1574,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.19283586,-82.70768142,House, 
1667,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.19128647,-82.70636931,House, 
1669,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.19125922,-82.70636918,House, 
1692,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.19094238,-82.70662015,House, 
1780,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.18980712,-82.70703995,House, 
1784,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.18974786,-82.70703572,House, 
1844,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.18873127,-82.70685794,House, 
1978,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.18755871,-82.70759536,House, 
2103,BECKY MOUNTAIN RD,BREVARD,NC,28712,35.18562345,-82.70877564,House, 
185,BEECH LN,BREVARD,NC,28712,35.19976681,-82.74285864,House, 
59,BIG PINE DR,BREVARD,NC,28712,35.18869162,-82.69564064,House, 
114,BIG PINE DR,BREVARD,NC,28712,35.18979018,-82.69523538,House, 
115,BIG PINE DR,BREVARD,NC,28712,35.18985236,-82.69593438,House, 
127,CARL MERRILL DR,CEDAR MOUNTAIN,NC,28718,35.19299221,-82.64853386,House, 
184,CARL MERRILL DR,CEDAR MOUNTAIN,NC,28718,35.19369865,-82.64843494,House, 
5389,CASCADE LAKE RD,CEDAR MOUNTAIN,NC,28718,35.19025245,-82.6496525,House, 
5639,CASCADE LAKE RD,CEDAR MOUNTAIN,NC,28718,35.18872227,-82.65042542,House, 
65,CHEEK RD,BREVARD,NC,28712,35.19882941,-82.7185062,House, 
85,CHEEK RD,BREVARD,NC,28712,35.19883397,-82.71761606,House, 
