Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
660,LAUREL CREEK DR,CEDAR MOUNTAIN,NC,28718,35.19233872,-82.65636008,House, 
31,LOCHENCOVE RIDGE RD,BREVARD,NC,28712,35.19855268,-82.74678278,House, 
40,LOCHENCOVE RIDGE RD,BREVARD,NC,28712,35.19803227,-82.74671444,House, 
94,LOCHENCOVE RIDGE RD,BREVARD,NC,28712,35.19816154,-82.74627904,House, 
100,LOCHENCOVE RIDGE RD,BREVARD,NC,28712,35.19828808,-82.74559581,House, 
128,LOCHENCOVE RIDGE RD,BREVARD,NC,28712,35.198552,-82.7450761,House, 
163,LOCHENCOVE RIDGE RD,BREVARD,NC,28712,35.19931263,-82.74546235,House, 
164,LOCHENCOVE RIDGE RD,BREVARD,NC,28712,35.19879794,-82.74391799,House, 
211,LOST MINE TRL,BREVARD,NC,28712,35.18277526,-82.69765456,House, 
233,LOST MINE TRL,BREVARD,NC,28712,35.18231802,-82.69716244,House, 
266,LOST MINE TRL,BREVARD,NC,28712,35.18201342,-82.69835157,House, 
291,LOST MINE TRL,BREVARD,NC,28712,35.18157734,-82.69759631,House, 
454,LOST MINE TRL,BREVARD,NC,28712,35.18109011,-82.69485805,House, 
604,LOST MINE TRL,BREVARD,NC,28712,35.18275314,-82.69552988,House, 
730,LOST MINE TRL,BREVARD,NC,28712,35.18468901,-82.69437479,House, 
772,LOST MINE TRL,BREVARD,NC,28712,35.18528204,-82.69557885,House, 
12,MADISON HEIGHTS DR,BREVARD,NC,28712,35.19398146,-82.76377799,House, 
46,MADISON HEIGHTS DR,BREVARD,NC,28712,35.19399524,-82.76420082,House, 
7,MAPLE DR,BREVARD,NC,28712,35.19230815,-82.76127929,House, 
31,MAPLE DR,BREVARD,NC,28712,35.19272534,-82.76147921,House, 
163,MAPLE DR,BREVARD,NC,28712,35.19360975,-82.76242685,House, 
96,MAPLE DR,BREVARD,NC,28712,35.19324307,-82.76105524,House, 
115,MAPLE DR,BREVARD,NC,28712,35.19333787,-82.76167968,House, 
118,MAPLE DR,BREVARD,NC,28712,35.19382186,-82.76121768,House, 
128,MAPLE DR,BREVARD,NC,28712,35.19383307,-82.76214485,House, 
39,MILL HILL DR,BREVARD,NC,28712,35.18232866,-82.73353284,House, 
41,MILL HILL DR,BREVARD,NC,28712,35.18201826,-82.73336242,House, 
104,MILL HILL DR,BREVARD,NC,28712,35.18073857,-82.73463126,House, 
119,MILL HILL DR,BREVARD,NC,28712,35.1812456,-82.7339156,House, 
154,MILL HILL DR,BREVARD,NC,28712,35.18115504,-82.73354557,House, 
170,MILL HILL DR,BREVARD,NC,28712,35.18097653,-82.73363465,House, 
178,MILL HILL DR,BREVARD,NC,28712,35.1808747,-82.73386046,House, 
204,MILL HILL DR,BREVARD,NC,28712,35.18037546,-82.73393095,House, 
25,MILLER FARM LN,BREVARD,NC,28712,35.19913482,-82.7666378,House, 
51,MILLER FARM LN,BREVARD,NC,28712,35.19922749,-82.7670265,House, 
71,MILLER FARM LN,BREVARD,NC,28712,35.19944043,-82.76754801,House, 
80,MILLER FARM LN,BREVARD,NC,28712,35.19979134,-82.76728019,House, 
58,MONTE VISTA DR,BREVARD,NC,28712,35.19651604,-82.72010385,House, 
183,MONTE VISTA DR,BREVARD,NC,28712,35.196291,-82.71735682,House, 
296,MONTE VISTA DR,BREVARD,NC,28712,35.19514551,-82.71795051,House, 
53,MOSSBERG LN,BREVARD,NC,28712,35.18352444,-82.73470141,House, 
84,MOSSBERG LN,BREVARD,NC,28712,35.18387551,-82.7344487,House, 
117,MOSSBERG LN,BREVARD,NC,28712,35.1842686,-82.73368774,Other, 
127,MOSSBERG LN,BREVARD,NC,28712,35.18390865,-82.7338211,Other, 
155,MOUNTAIN BROOK TRL,BREVARD,NC,28712,35.19430566,-82.75052109,House, 
258,MOUNTAIN BROOK TRL,BREVARD,NC,28712,35.19561851,-82.75076478,House, 
82,NEW CASTLE RD,BREVARD,NC,28712,35.18550318,-82.75965359,House, 
154,NEW CASTLE RD,BREVARD,NC,28712,35.18642294,-82.76097329,House, 
198,NEW CASTLE RD,BREVARD,NC,28712,35.18679521,-82.76158396,House, 
243,NEW CASTLE RD,BREVARD,NC,28712,35.18663062,-82.76242134,House, 
355,NEW CASTLE RD,BREVARD,NC,28712,35.18600764,-82.76326463,House, 
50,OLD COUNTY HOME RD E,BREVARD,NC,28712,35.19744932,-82.77907436,House, 
52,OLD COUNTY HOME RD E,BREVARD,NC,28712,35.19818201,-82.77959161,House, 
81,OLD COUNTY HOME RD E,BREVARD,NC,28712,35.19901487,-82.77990802,House, 
177,OLD COUNTY HOME RD E,BREVARD,NC,28712,35.19987403,-82.77888302,House, 
216,OLD COUNTY HOME RD E,BREVARD,NC,28712,35.19959604,-82.77676726,House, 
218,OLD COUNTY HOME RD E,BREVARD,NC,28712,35.19980385,-82.77634185,House, 
167,OLD COUNTY HOME RD W,BREVARD,NC,28712,35.19063272,-82.77911913,House, 
30,OLD ORCHARD LN,BREVARD,NC,28712,35.18898346,-82.70639035,House, 
80,OLD ORCHARD LN,BREVARD,NC,28712,35.18813592,-82.70603063,House, 
90,OLD ORCHARD LN,BREVARD,NC,28712,35.18853763,-82.70556434,House, 
83,OLD SPRING RD,BREVARD,NC,28712,35.19235885,-82.69664115,House, 
163,OLD SPRING RD,BREVARD,NC,28712,35.19315027,-82.69574655,House, 
185,OLD SPRING RD,BREVARD,NC,28712,35.1937398,-82.6949433,House, 
10,OTTO ALEXANDER RD,BREVARD,NC,28712,35.19847403,-82.76734123,House, 
11,OTTO ALEXANDER RD,BREVARD,NC,28712,35.19849099,-82.76693037,House, 
28,OTTO ALEXANDER RD,BREVARD,NC,28712,35.19813795,-82.7677708,House, 
29,OTTO ALEXANDER RD,BREVARD,NC,28712,35.19811084,-82.76710129,House, 
51,OTTO ALEXANDER RD,BREVARD,NC,28712,35.19777637,-82.7672794,House, 
67,OTTO ALEXANDER RD,BREVARD,NC,28712,35.19697089,-82.76656599,House, 
69,OTTO ALEXANDER RD,BREVARD,NC,28712,35.19653051,-82.76683654,House, 
105,OTTO ALEXANDER RD,BREVARD,NC,28712,35.19733347,-82.76777589,House, 
116,OTTO ALEXANDER RD,BREVARD,NC,28712,35.1974531,-82.76905814,House, 
123,OTTO ALEXANDER RD,BREVARD,NC,28712,35.1971371,-82.76796023,House, 
132,OTTO ALEXANDER RD,BREVARD,NC,28712,35.19701888,-82.76836382,House, 
133,OTTO ALEXANDER RD,BREVARD,NC,28712,35.197028,-82.76806265,House, 
170,OTTO ALEXANDER RD,BREVARD,NC,28712,35.19657817,-82.76898145,House, 
282,OTTO ALEXANDER RD,BREVARD,NC,28712,35.19523831,-82.77050585,House, 
365,OTTO ALEXANDER RD,BREVARD,NC,28712,35.1940459,-82.77027413,House, 
11,OVERCREST CIR,BREVARD,NC,28712,35.18088582,-82.76589803,House, 
25,OVERCREST CIR,BREVARD,NC,28712,35.18125195,-82.7663705,House, 
55,OVERCREST CIR,BREVARD,NC,28712,35.18146587,-82.7667143,House, 
64,OVERCREST CIR,BREVARD,NC,28712,35.18178864,-82.76624685,House, 
83,OVERCREST CIR,BREVARD,NC,28712,35.18188485,-82.7672282,House, 
106,OVERCREST CIR,BREVARD,NC,28712,35.1824262,-82.76624064,House, 
107,OVERCREST CIR,BREVARD,NC,28712,35.18252164,-82.76685916,House, 
332,OXFORD CT,BREVARD,NC,28712,35.1881146,-82.76095335,House, 
55,PASO FINO LN,BREVARD,NC,28712,35.18366399,-82.70752105,House, 
82,PASO FINO LN,BREVARD,NC,28712,35.18277218,-82.70762761,House, 
213,PASO FINO LN,BREVARD,NC,28712,35.18281599,-82.70575408,House, 
31,PICCADILLY PL,BREVARD,NC,28712,35.18197961,-82.76204944,House, 
41,PICCADILLY PL,BREVARD,NC,28712,35.1822157,-82.76273732,House, 
75,PICCADILLY PL,BREVARD,NC,28712,35.18207165,-82.76350995,House, 
13,PINECREST DR,BREVARD,NC,28712,35.18392827,-82.76451808,House, 
14,PINECREST DR,BREVARD,NC,28712,35.18359369,-82.76542597,House, 
21,PINECREST DR,BREVARD,NC,28712,35.18329224,-82.7650904,House, 
34,PLEASANT HILL DR,BREVARD,NC,28712,35.18893529,-82.75881251,House, 
