Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
74,ALLEN MCCALL RD,LAKE TOXAWAY,NC,28747,35.18498944,-82.93718508,House, 
454,ALLEN MCCALL RD,LAKE TOXAWAY,NC,28747,35.18861381,-82.94203948,House, 
573,ALLEN MCCALL RD,LAKE TOXAWAY,NC,28747,35.18963694,-82.94388304,House, 
725,ALLEN MCCALL RD,LAKE TOXAWAY,NC,28747,35.19150402,-82.94358678,House, 
749,ALLEN MCCALL RD,LAKE TOXAWAY,NC,28747,35.19182855,-82.94362668,House, 
84,ANDERS CEMETERY RD,LAKE TOXAWAY,NC,28747,35.17366359,-82.89042514,House, 
209,ARMENGOL WAY,LAKE TOXAWAY,NC,28747,35.18641892,-82.9212973,House, 
356,ARMENGOL WAY,LAKE TOXAWAY,NC,28747,35.18561987,-82.92415878,House, 
358,ARMENGOL WAY,LAKE TOXAWAY,NC,28747,35.18810761,-82.92106821,House, 
513,ARMENGOL WAY,LAKE TOXAWAY,NC,28747,35.18499862,-82.92658754,House, 
564,ARMENGOL WAY,LAKE TOXAWAY,NC,28747,35.18700775,-82.92373527,House, 
612,ARMENGOL WAY,LAKE TOXAWAY,NC,28747,35.1868244,-82.92406463,House, 
9,ARTHUR DR,BALSAM GROVE,NC,28708,35.23049079,-82.85964705,House, 
45,ARTHUR DR,BALSAM GROVE,NC,28708,35.23039977,-82.86000089,House, 
63,ARTHUR DR,BALSAM GROVE,NC,28708,35.23032436,-82.86029018,House, 
64,ARTHUR DR,BALSAM GROVE,NC,28708,35.23067122,-82.8605532,House, 
25,B AND A LN,LAKE TOXAWAY,NC,28747,35.19453389,-82.90190855,House, 
101,B AND A LN,LAKE TOXAWAY,NC,28747,35.19498467,-82.90285701,House, 
119,B AND A LN,LAKE TOXAWAY,NC,28747,35.19549162,-82.90240188,House, 
149,B AND A LN,LAKE TOXAWAY,NC,28747,35.19585631,-82.90315152,House, 
197,B AND A LN,LAKE TOXAWAY,NC,28747,35.19582687,-82.90387578,House, 
57,BALD ROCK RD,BALSAM GROVE,NC,28708,35.21886311,-82.92074501,House, 
68,BALD ROCK RD,BALSAM GROVE,NC,28708,35.21905193,-82.9206501,House, 
79,BALD ROCK RD,BALSAM GROVE,NC,28708,35.2190208,-82.9209311,House, 
160,BALD ROCK RD,BALSAM GROVE,NC,28708,35.22000483,-82.92157929,House, 
218,BALD ROCK RD,BALSAM GROVE,NC,28708,35.22065085,-82.92207229,House, 
574,BALD ROCK RD,BALSAM GROVE,NC,28708,35.22269737,-82.92681481,House, 
609,BALD ROCK RD,BALSAM GROVE,NC,28708,35.22266907,-82.92743667,House, 
261,BALSAM RIDGE DR,BALSAM GROVE,NC,28708,35.22637085,-82.85489006,House, 
270,BALSAM RIDGE DR,BALSAM GROVE,NC,28708,35.22681864,-82.85143227,House, 
30,BARBARA LN,BALSAM GROVE,NC,28708,35.22562824,-82.872385,House, 
40,BARBARA LN,BALSAM GROVE,NC,28708,35.22541471,-82.87210435,House, 
91,BIG TOM WOODS LN,BALSAM GROVE,NC,28708,35.21700787,-82.90267207,House, 
180,BIG TOM WOODS LN,BALSAM GROVE,NC,28708,35.21581555,-82.90221752,House, 
4588,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.17844016,-82.92805689,House, 
5410,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.18351822,-82.93573477,House, 
5525,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.18330006,-82.93862856,House, 
5970,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.18621584,-82.94500069,House, 
5971,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.18544518,-82.94385363,House, 
5975,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.18546941,-82.94530157,House, 
5977,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.18511344,-82.94550365,House, 
6108,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.18558239,-82.94685814,House, 
6170,BLUE RIDGE RD,LAKE TOXAWAY,NC,28747,35.18642068,-82.94702641,House, 
10,BRACKEN MOUNTAIN CV,BALSAM GROVE,NC,28708,35.21745282,-82.90850486,House, 
55,BRACKEN MOUNTAIN CV,BALSAM GROVE,NC,28708,35.21689908,-82.90860373,House, 
65,BRACKEN MOUNTAIN CV,BALSAM GROVE,NC,28708,35.21676171,-82.90883615,House, 
67,BRACKEN MOUNTAIN CV,BALSAM GROVE,NC,28708,35.21676797,-82.90885225,House, 
238,BRACKEN MOUNTAIN CV,BALSAM GROVE,NC,28708,35.21486034,-82.90977346,House, 
11,BRUCENE DR,BALSAM GROVE,NC,28708,35.22991099,-82.85915133,House, 
33,BRUCENE DR,BALSAM GROVE,NC,28708,35.2301875,-82.85949956,Other, 
62,BRUCENE DR,BALSAM GROVE,NC,28708,35.23059662,-82.85884531,House, 
87,BRUCENE DR,BALSAM GROVE,NC,28708,35.23090516,-82.85947313,House, 
106,BRUCENE DR,BALSAM GROVE,NC,28708,35.23170997,-82.85907102,House, 
107,BRUCENE DR,BALSAM GROVE,NC,28708,35.23135297,-82.85985588,House, 
