Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
52,LUPINE RIDGE CIR,LAKE TOXAWAY,NC,28747,35.16497048,-82.93551155,House, 
75,LUPINE RIDGE CIR,LAKE TOXAWAY,NC,28747,35.16421251,-82.93565646,House, 
82,LUPINE RIDGE CIR,LAKE TOXAWAY,NC,28747,35.16463092,-82.93571959,House, 
98,LUPINE RIDGE CIR,LAKE TOXAWAY,NC,28747,35.16448588,-82.93593337,House, 
105,LUPINE RIDGE CIR,LAKE TOXAWAY,NC,28747,35.16383381,-82.93579462,House, 
107,LUPINE RIDGE CIR,LAKE TOXAWAY,NC,28747,35.163996,-82.93629556,House, 
108,LUPINE RIDGE CIR,LAKE TOXAWAY,NC,28747,35.16440961,-82.93646324,House, 
149,LUPINE RIDGE CIR,LAKE TOXAWAY,NC,28747,35.16412966,-82.93698213,House, 
165,LUPINE RIDGE CIR,LAKE TOXAWAY,NC,28747,35.16450272,-82.93683754,House, 
215,LUPINE RIDGE CIR,LAKE TOXAWAY,NC,28747,35.16451741,-82.93737748,House, 
217,LUPINE RIDGE CIR,LAKE TOXAWAY,NC,28747,35.16459497,-82.93785389,House, 
279,LUPINE RIDGE CIR,LAKE TOXAWAY,NC,28747,35.16507579,-82.93768536,House, 
301,LUPINE RIDGE CIR,LAKE TOXAWAY,NC,28747,35.16532983,-82.93802271,House, 
304,LUPINE RIDGE CIR,LAKE TOXAWAY,NC,28747,35.16539167,-82.93753354,House, 
350,LUPINE RIDGE CIR,LAKE TOXAWAY,NC,28747,35.16551528,-82.93723373,House, 
354,LUPINE RIDGE CIR,LAKE TOXAWAY,NC,28747,35.16526117,-82.93685161,House, 
382,LUPINE RIDGE CIR,LAKE TOXAWAY,NC,28747,35.16520062,-82.93643806,House, 
321,MACEDONIA CHURCH RD,ROSMAN,NC,28772,35.19684168,-82.86083685,House, 
413,MACEDONIA CHURCH RD,ROSMAN,NC,28772,35.19827384,-82.86132654,House, 
737,MACEDONIA CHURCH RD,ROSMAN,NC,28772,35.20131918,-82.86577578,House, 
739,MACEDONIA CHURCH RD,ROSMAN,NC,28772,35.20163878,-82.86612385,House, 
849,MACEDONIA CHURCH RD,ROSMAN,NC,28772,35.2030587,-82.86596198,House, 
971,MACEDONIA CHURCH RD,ROSMAN,NC,28772,35.20424831,-82.86701298,House, 
983,MACEDONIA CHURCH RD,ROSMAN,NC,28772,35.20444905,-82.86733639,House, 
