Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
5,ALTHEA DR,ROSMAN,NC,28772,35.14640883,-82.82509032,House, 
15,ALTHEA DR,ROSMAN,NC,28772,35.14657455,-82.82512117,House, 
17,ALTHEA DR,ROSMAN,NC,28772,35.14681859,-82.82520983,House, 
41,ALTHEA DR,ROSMAN,NC,28772,35.14690117,-82.82483938,House, 
60,ALTHEA DR,ROSMAN,NC,28772,35.14724766,-82.82463635,House, 
22,AMANI  LN,BREVARD,NC,28712,35.14377605,-82.81419654,House, 
24,AMANI  LN,BREVARD,NC,28712,35.14373902,-82.81455258,House, 
26,AMANI  LN,BREVARD,NC,28712,35.14355182,-82.81441197,House, 
38,AMANI  LN,BREVARD,NC,28712,35.1435606,-82.81456975,House, 
41,AMANI  LN,BREVARD,NC,28712,35.14346481,-82.81476137,House, 
50,AMANI  LN,BREVARD,NC,28712,35.14360158,-82.81474792,House, 
56,AMANI  LN,BREVARD,NC,28712,35.14364884,-82.81485696,House, 
63,AMANI  LN,BREVARD,NC,28712,35.14356262,-82.81510346,House, 
64,AMANI  LN,BREVARD,NC,28712,35.14371037,-82.81499978,House, 
68,AMANI  LN,BREVARD,NC,28712,35.14371323,-82.81521388,House, 
84,ASHE RD,ROSMAN,NC,28772,35.14285722,-82.81933627,House, 
86,ASHE RD,ROSMAN,NC,28772,35.14211548,-82.81889145,House, 
88,ASHE RD,ROSMAN,NC,28772,35.14360705,-82.81919152,House, 
90,ASHE RD,ROSMAN,NC,28772,35.14389458,-82.81962921,House, 
162,ASHE RD,ROSMAN,NC,28772,35.14422944,-82.81927537,House, 
177,ASHE RD,ROSMAN,NC,28772,35.14465539,-82.82017911,House, 
180,ASHE RD,ROSMAN,NC,28772,35.14452642,-82.81938925,House, 
183,ASHE RD,ROSMAN,NC,28772,35.14479722,-82.81988178,House, 
119,BATTLE CREEK RD,BREVARD,NC,28712,35.1354542,-82.8535997,House, 
10,BEAR PARK CIR,ROSMAN,NC,28772,35.1455019,-82.82317998,House, 
21,BEAR PARK CIR,ROSMAN,NC,28772,35.14569709,-82.82311433,House, 
23,BEAR PARK CIR,ROSMAN,NC,28772,35.14574328,-82.82312978,House, 
27,BEAR PARK CIR,ROSMAN,NC,28772,35.14580651,-82.8229776,House, 
29,BEAR PARK CIR,ROSMAN,NC,28772,35.14590463,-82.82286857,House, 
31,BEAR PARK CIR,ROSMAN,NC,28772,35.14603375,-82.82275148,House, 
42,BEAR PARK CIR,ROSMAN,NC,28772,35.14551349,-82.82301467,House, 
25,BEAR'S TRL,ROSMAN,NC,28772,35.14655798,-82.82347541,House, 
29,BEAR'S TRL,ROSMAN,NC,28772,35.14636767,-82.82373956,House, 
55,BEAR'S TRL,ROSMAN,NC,28772,35.14633838,-82.82404171,House, 
65,BEAR'S TRL,ROSMAN,NC,28772,35.14613927,-82.82451394,House, 
39,BECK RD,BREVARD,NC,28712,35.13992076,-82.81660933,House, 
55,BECK RD,BREVARD,NC,28712,35.14008723,-82.81638114,House, 
73,BECK RD,BREVARD,NC,28712,35.14030489,-82.8160719,House, 
35,BEN JONES LN,LAKE TOXAWAY,NC,28747,35.14309501,-82.91890456,House, 
94,BEN JONES LN,LAKE TOXAWAY,NC,28747,35.14398775,-82.91915449,House, 
126,BEN JONES LN,LAKE TOXAWAY,NC,28747,35.14358248,-82.91989925,House, 
150,BEN JONES LN,LAKE TOXAWAY,NC,28747,35.14336619,-82.92021206,House, 
271,BEN JONES LN,LAKE TOXAWAY,NC,28747,35.14272607,-82.92251344,House, 
128,BENT OAK LN,LAKE TOXAWAY,NC,28747,35.14547797,-82.92313929,House, 
