Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
303,MAIN ST,ROSMAN,NC,28772,35.1420001,-82.82255837,House, 
311,MAIN ST,ROSMAN,NC,28772,35.14207857,-82.82217614,House, 
314,MAIN ST,ROSMAN,NC,28772,35.14173911,-82.82279365,House, 
316,MAIN ST,ROSMAN,NC,28772,35.14163792,-82.82279425,House, 
325,MAIN ST,ROSMAN,NC,28772,35.1417591,-82.82241076,House, 
328,MAIN ST,ROSMAN,NC,28772,35.14153686,-82.82273788,House, 
341,MAIN ST,ROSMAN,NC,28772,35.14159074,-82.82219595,House, 
355,MAIN ST,ROSMAN,NC,28772,35.14138382,-82.82199648,House, 
358,MAIN ST,ROSMAN,NC,28772,35.14115043,-82.82252444,House, 
378,MAIN ST,ROSMAN,NC,28772,35.14086405,-82.82228026,House, 
405,MAIN ST,ROSMAN,NC,28772,35.1406511,-82.82168839,House, 
423,MAIN ST,ROSMAN,NC,28772,35.14043483,-82.82151553,House, 
451,MAIN ST,ROSMAN,NC,28772,35.14007453,-82.82140282,House, 
485,MAIN ST,ROSMAN,NC,28772,35.13962211,-82.82116729,House, 
501,MAIN ST,ROSMAN,NC,28772,35.13933532,-82.82094582,House, 
560,MAIN ST,ROSMAN,NC,28772,35.13886836,-82.82021359,House, 
57,MAJESTIC VIEW DR,BREVARD,NC,28712,35.15597187,-82.80391626,House, 
65,MAJESTIC VIEW DR,BREVARD,NC,28712,35.15591241,-82.80375384,House, 
71,MAJESTIC VIEW DR,BREVARD,NC,28712,35.15584775,-82.8035859,House, 
86,MAJESTIC VIEW DR,BREVARD,NC,28712,35.15547362,-82.80383321,House, 
97,MAJESTIC VIEW DR,BREVARD,NC,28712,35.15521682,-82.80378516,House, 
92,MALLARD PT,LAKE TOXAWAY,NC,28747,35.14024873,-82.94272426,House, 
99,MALLARD PT,LAKE TOXAWAY,NC,28747,35.13992448,-82.94243628,House, 
121,MALLARD PT,LAKE TOXAWAY,NC,28747,35.13960004,-82.9427187,House, 
124,MALLARD PT,LAKE TOXAWAY,NC,28747,35.13986682,-82.94295403,House, 
139,MALLARD PT,LAKE TOXAWAY,NC,28747,35.13935166,-82.94324263,House, 
176,MANN'S WAY,ROSMAN,NC,28772,35.1352425,-82.83345862,House, 
110,MCCALL COVE RD,LAKE TOXAWAY,NC,28747,35.1486443,-82.88684136,House, 
172,MCCALL COVE RD,LAKE TOXAWAY,NC,28747,35.14797059,-82.88573512,House, 
248,MCCALL COVE RD,LAKE TOXAWAY,NC,28747,35.14857262,-82.88483244,House, 
252,MCCALL COVE RD,LAKE TOXAWAY,NC,28747,35.14871932,-82.88502894,House, 
336,MCCALL COVE RD,LAKE TOXAWAY,NC,28747,35.14946785,-82.88569452,House, 
612,MCCALL COVE RD,LAKE TOXAWAY,NC,28747,35.1498027,-82.88231169,House, 
706,MCCALL COVE RD,LAKE TOXAWAY,NC,28747,35.14896339,-82.88128727,House, 
175,MCKEE RD,LAKE TOXAWAY,NC,28747,35.15380463,-82.93132029,House, 
223,MCKEE RD,LAKE TOXAWAY,NC,28747,35.15330441,-82.93389406,House, 
234,MCKEE RD,LAKE TOXAWAY,NC,28747,35.15467735,-82.93244207,House, 
270,MCKEE RD,LAKE TOXAWAY,NC,28747,35.15442034,-82.93351472,House, 
12,MOLLY'S WAY,BREVARD,NC,28712,35.14432081,-82.81514714,House, 
21,MOLLY'S WAY,BREVARD,NC,28712,35.14408847,-82.81504079,House, 
41,MOLLY'S WAY,BREVARD,NC,28712,35.14403232,-82.81541792,House, 
46,MOLLY'S WAY,BREVARD,NC,28712,35.14437914,-82.81537855,House, 
47,MOLLY'S WAY,BREVARD,NC,28712,35.14408419,-82.8156605,House, 
56,MOLLY'S WAY,BREVARD,NC,28712,35.1444798,-82.81548676,House, 
57,MOLLY'S WAY,BREVARD,NC,28712,35.14419223,-82.81581799,House, 
60,MOLLY'S WAY,BREVARD,NC,28712,35.14460405,-82.81561263,House, 
61,MOLLY'S WAY,BREVARD,NC,28712,35.14444754,-82.81583379,House, 
102,MORTON GAP RD,LAKE TOXAWAY,NC,28747,35.13663396,-82.89984945,House, 
306,MORTON GAP RD,LAKE TOXAWAY,NC,28747,35.13885001,-82.90180334,House, 
324,MORTON GAP RD,LAKE TOXAWAY,NC,28747,35.13930943,-82.90199783,House, 
416,MORTON GAP RD,LAKE TOXAWAY,NC,28747,35.13989316,-82.90222742,House, 
478,MORTON GAP RD,LAKE TOXAWAY,NC,28747,35.14098468,-82.90154642,House, 
483,MORTON GAP RD,LAKE TOXAWAY,NC,28747,35.14082182,-82.9031469,House, 
635,MORTON GAP RD,LAKE TOXAWAY,NC,28747,35.14154602,-82.90324532,House, 
21,MOUNTIAN VIEW RD,LAKE TOXAWAY,NC,28747,35.14069148,-82.93988582,House, 
122,MYERS DR,LAKE TOXAWAY,NC,28747,35.15674723,-82.93961972,House, 
135,MYERS DR,LAKE TOXAWAY,NC,28747,35.15699084,-82.93965769,House, 
171,MYERS DR,LAKE TOXAWAY,NC,28747,35.15731263,-82.93920994,House, 
210,MYERS DR,LAKE TOXAWAY,NC,28747,35.15739343,-82.93869873,House, 
173,NANTAHALA RD,LAKE TOXAWAY,NC,28747,35.15841621,-82.93137937,House, 
10,NEWTOWN RD,ROSMAN,NC,28772,35.14596484,-82.82485722,House, 
40,NEWTOWN RD,ROSMAN,NC,28772,35.14633969,-82.82472142,House, 
80,NEWTOWN RD,ROSMAN,NC,28772,35.14655317,-82.82450907,House, 
90,NEWTOWN RD,ROSMAN,NC,28772,35.14671101,-82.82418957,House, 
100,NEWTOWN RD,ROSMAN,NC,28772,35.14682469,-82.82383842,House, 
101,NEWTOWN RD,ROSMAN,NC,28772,35.14709687,-82.82375731,House, 
133,NEWTOWN RD,ROSMAN,NC,28772,35.14706493,-82.82341973,House, 
137,NEWTOWN RD,ROSMAN,NC,28772,35.14708779,-82.82324915,House, 
158,NEWTOWN RD,ROSMAN,NC,28772,35.14682212,-82.82294405,House, 
161,NEWTOWN RD,ROSMAN,NC,28772,35.14740809,-82.82290425,House, 
180,NEWTOWN RD,ROSMAN,NC,28772,35.14721706,-82.82240615,House, 
210,NEWTOWN RD,ROSMAN,NC,28772,35.1475322,-82.82205381,House, 
217,NEWTOWN RD,ROSMAN,NC,28772,35.14791309,-82.82261186,House, 
233,NEWTOWN RD,ROSMAN,NC,28772,35.14788548,-82.82227563,House, 
235,NEWTOWN RD,ROSMAN,NC,28772,35.14813379,-82.82229658,House, 
236,NEWTOWN RD,ROSMAN,NC,28772,35.14803508,-82.82171255,House, 
283,NEWTOWN RD,ROSMAN,NC,28772,35.14831139,-82.82205619,House, 
285,NEWTOWN RD,ROSMAN,NC,28772,35.14848842,-82.8218863,House, 
300,NEWTOWN RD,ROSMAN,NC,28772,35.14905509,-82.82073063,House, 
302,NEWTOWN RD,ROSMAN,NC,28772,35.14925874,-82.82106734,House, 
311,NEWTOWN RD,ROSMAN,NC,28772,35.14905813,-82.82184554,House, 
312,NEWTOWN RD,ROSMAN,NC,28772,35.14983429,-82.82117244,House, 
343,NEWTOWN RD,ROSMAN,NC,28772,35.14941312,-82.82168581,House, 
383,NEWTOWN RD,ROSMAN,NC,28772,35.14973004,-82.82190183,House, 
391,NEWTOWN RD,ROSMAN,NC,28772,35.15012995,-82.82149829,House, 
190,NEWTOWN RESERVOIR RD,ROSMAN,NC,28772,35.14828344,-82.81920947,House, 
195,NEWTOWN RESERVOIR RD,ROSMAN,NC,28772,35.14839939,-82.81903514,House, 
269,NEWTOWN RESERVOIR RD,ROSMAN,NC,28772,35.14837591,-82.81786296,House, 
100,OLD CALVERT LANDFILL RD,BREVARD,NC,28712,35.15679294,-82.81208576,House, 
102,OLD CALVERT LANDFILL RD,BREVARD,NC,28712,35.15678171,-82.8126426,House, 
163,OLD CALVERT LANDFILL RD,BREVARD,NC,28712,35.15660236,-82.81333615,House, 
425,OLD CARTWRIGHT PL,BREVARD,NC,28712,35.1575275,-82.81710084,House, 
655,OLD CARTWRIGHT PL,BREVARD,NC,28712,35.15966518,-82.81632238,House, 
18,OLD QUEBEC RD,LAKE TOXAWAY,NC,28747,35.13974412,-82.87648156,House, 
36,OLD QUEBEC RD,LAKE TOXAWAY,NC,28747,35.1395037,-82.87735208,House, 
230,OLD QUEBEC RD,LAKE TOXAWAY,NC,28747,35.13945055,-82.88029937,House, 
764,OLD QUEBEC RD,LAKE TOXAWAY,NC,28747,35.13514148,-82.88639529,House, 
1106,OLD QUEBEC RD,LAKE TOXAWAY,NC,28747,35.13737461,-82.88972648,House, 
864,OLD ROSMAN HWY,BREVARD,NC,28712,35.15904464,-82.81109266,House, 
944,OLD ROSMAN HWY,BREVARD,NC,28712,35.15801881,-82.81070219,House, 
985,OLD ROSMAN HWY,BREVARD,NC,28712,35.15732876,-82.810246,House, 
1124,OLD ROSMAN HWY,BREVARD,NC,28712,35.15567393,-82.81122801,House, 
1166,OLD ROSMAN HWY,BREVARD,NC,28712,35.15484973,-82.81121619,House, 
1379,OLD ROSMAN HWY,BREVARD,NC,28712,35.15235504,-82.80929914,House, 
1422,OLD ROSMAN HWY,BREVARD,NC,28712,35.15079302,-82.81142893,House, 
1521,OLD ROSMAN HWY,BREVARD,NC,28712,35.14943737,-82.80981681,House, 
1525,OLD ROSMAN HWY,BREVARD,NC,28712,35.14925633,-82.81058814,House, 
1628,OLD ROSMAN HWY,BREVARD,NC,28712,35.14798273,-82.81195368,House, 
1684,OLD ROSMAN HWY,BREVARD,NC,28712,35.14765302,-82.81143018,House, 
1696,OLD ROSMAN HWY,BREVARD,NC,28712,35.14871329,-82.81110324,House, 
1871,OLD ROSMAN HWY,BREVARD,NC,28712,35.14477428,-82.81248982,House, 
1911,OLD ROSMAN HWY,BREVARD,NC,28712,35.14432333,-82.81258143,House, 
1938,OLD ROSMAN HWY,BREVARD,NC,28712,35.14420795,-82.81344727,House, 
1986,OLD ROSMAN HWY,BREVARD,NC,28712,35.14382309,-82.81384326,House, 
1989,OLD ROSMAN HWY,BREVARD,NC,28712,35.14329244,-82.81321659,House, 
2012,OLD ROSMAN HWY,BREVARD,NC,28712,35.14344614,-82.81403833,House, 
2036,OLD ROSMAN HWY,BREVARD,NC,28712,35.14319653,-82.81430779,House, 
2050,OLD ROSMAN HWY,BREVARD,NC,28712,35.14301324,-82.81442428,House, 
2064,OLD ROSMAN HWY,BREVARD,NC,28712,35.14285441,-82.81457335,House, 
2086,OLD ROSMAN HWY,BREVARD,NC,28712,35.14269248,-82.81471285,House, 
2088,OLD ROSMAN HWY,BREVARD,NC,28712,35.1424486,-82.81482876,House, 
2110,OLD ROSMAN HWY,BREVARD,NC,28712,35.14237071,-82.81534485,House, 
2134,OLD ROSMAN HWY,BREVARD,NC,28712,35.14208242,-82.81538401,House, 
2170,OLD ROSMAN HWY,BREVARD,NC,28712,35.14154212,-82.8155288,House, 
2180,OLD ROSMAN HWY,BREVARD,NC,28712,35.14141824,-82.81563627,House, 
2182,OLD ROSMAN HWY,BREVARD,NC,28712,35.14135992,-82.8156892,House, 
2190,OLD ROSMAN HWY,BREVARD,NC,28712,35.14130478,-82.81573699,House, 
2192,OLD ROSMAN HWY,BREVARD,NC,28712,35.14124394,-82.81579221,House, 
2225,OLD ROSMAN HWY,BREVARD,NC,28712,35.14024141,-82.81540129,House, 
2227,OLD ROSMAN HWY,BREVARD,NC,28712,35.14052823,-82.81578837,House, 
2320,OLD ROSMAN HWY,BREVARD,NC,28712,35.13980064,-82.81750986,House, 
2330,OLD ROSMAN HWY,BREVARD,NC,28712,35.13983838,-82.81780573,House, 
