Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
11,ADAM'S DR,BREVARD,NC,28712,35.14156156,-82.77833136,House, 
34,ADAM'S DR,BREVARD,NC,28712,35.14118014,-82.78014744,House, 
88,ADAM'S DR,BREVARD,NC,28712,35.14086462,-82.77850354,House, 
90,ADAM'S DR,BREVARD,NC,28712,35.14075591,-82.77816059,House, 
105,ADAM'S DR,BREVARD,NC,28712,35.14115243,-82.77800014,House, 
131,ADAM'S DR,BREVARD,NC,28712,35.1407025,-82.77707819,House, 
140,ADAM'S DR,BREVARD,NC,28712,35.14036764,-82.77788245,House, 
180,ADAM'S DR,BREVARD,NC,28712,35.13985412,-82.77778409,House, 
202,ADAM'S DR,BREVARD,NC,28712,35.13925349,-82.77749439,House, 
121,ADAWEHI LN,BREVARD,NC,28712,35.15472151,-82.74188347,House, 
148,ADAYAHI CT,BREVARD,NC,28712,35.14690492,-82.76218597,House, 
200,ADAYAHI CT,BREVARD,NC,28712,35.14740402,-82.76286085,House, 
258,ADAYAHI CT,BREVARD,NC,28712,35.14784057,-82.76338196,House, 
291,ADAYAHI CT,BREVARD,NC,28712,35.14713091,-82.76449316,House, 
354,ADAYAHI CT,BREVARD,NC,28712,35.148115,-82.76510111,House, 
364,ADAYAHI CT,BREVARD,NC,28712,35.1481032,-82.76563319,House, 
366,ADAYAHI CT,BREVARD,NC,28712,35.14758265,-82.76565353,House, 
402,ADAYAHI CT,BREVARD,NC,28712,35.14779409,-82.7663574,House, 
43,ADELV CT,BREVARD,NC,28712,35.1474978,-82.70951761,House, 
17,ADOHI CT,BREVARD,NC,28712,35.14570945,-82.70899527,House, 
20,ADOHI CT,BREVARD,NC,28712,35.14635329,-82.70878013,House, 
32,ADOHI CT,BREVARD,NC,28712,35.14627968,-82.70913271,House, 
44,ADOHI CT,BREVARD,NC,28712,35.14624174,-82.70948248,House, 
58,ADOHI CT,BREVARD,NC,28712,35.14609021,-82.7097277,House, 
61,ADOHI CT,BREVARD,NC,28712,35.14579795,-82.70926091,House, 
76,ADOHI CT,BREVARD,NC,28712,35.1459562,-82.7099474,House, 
81,ADOHI CT,BREVARD,NC,28712,35.14559354,-82.70963708,House, 
90,ADOHI CT,BREVARD,NC,28712,35.14576737,-82.71024154,House, 
95,ADOHI CT,BREVARD,NC,28712,35.14542375,-82.70994074,House, 
118,ADOHI CT,BREVARD,NC,28712,35.14548526,-82.71061735,House, 
123,ADOHI CT,BREVARD,NC,28712,35.14501424,-82.71042748,House, 
126,ADOHI CT,BREVARD,NC,28712,35.14510492,-82.71063982,House, 
30,AMAKOLA CT,BREVARD,NC,28712,35.14193263,-82.72938333,House, 
42,AMAKOLA CT,BREVARD,NC,28712,35.14185783,-82.72967818,House, 
65,AMAKOLA CT,BREVARD,NC,28712,35.14137926,-82.72955894,House, 
80,AMAKOLA CT,BREVARD,NC,28712,35.14161426,-82.73022295,House, 
92,AMAKOLA CT,BREVARD,NC,28712,35.14147635,-82.73048498,House, 
93,AMAKOLA CT,BREVARD,NC,28712,35.14113163,-82.73006864,House, 
107,AMAKOLA CT,BREVARD,NC,28712,35.14093659,-82.73033021,House, 
110,AMAKOLA CT,BREVARD,NC,28712,35.14115285,-82.73093465,House, 
112,AMAKOLA CT,BREVARD,NC,28712,35.14099923,-82.73084805,House, 
35,AMAYI CT,BREVARD,NC,28712,35.14661276,-82.71646313,House, 
36,AMAYI CT,BREVARD,NC,28712,35.14618608,-82.71599398,House, 
40,AMAYI CT,BREVARD,NC,28712,35.1464087,-82.7161625,House, 
25,ANDERS RD,BREVARD,NC,28712,35.14973134,-82.69268151,House, 
50,ANDERS RD,BREVARD,NC,28712,35.1499652,-82.69233558,House, 
71,ANDERS RD,BREVARD,NC,28712,35.15026797,-82.69253662,House, 
79,ANDERS RD,BREVARD,NC,28712,35.15041627,-82.69245737,House, 
92,ANDERS RD,BREVARD,NC,28712,35.15056099,-82.69188841,House, 
101,ANDERS RD,BREVARD,NC,28712,35.15067487,-82.69226698,House, 
114,ANDERS RD,BREVARD,NC,28712,35.15110941,-82.69156062,House, 
125,ANDERS RD,BREVARD,NC,28712,35.15143749,-82.69240622,House, 
150,ANDERS RD,BREVARD,NC,28712,35.15150657,-82.69110917,House, 
205,ANDERS RD,BREVARD,NC,28712,35.15177779,-82.69161701,House, 
34,ANNAKESTA CT,BREVARD,NC,28712,35.13517859,-82.74340958,House, 
41,ANNAKESTA CT,BREVARD,NC,28712,35.13524022,-82.74400667,House, 
27,ANV CT,BREVARD,NC,28712,35.15176567,-82.7250324,House, 
