Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
257,COTTON TOP DR,BREVARD,NC,28712,35.15099189,-82.7729714,House, 
260,COTTON TOP DR,BREVARD,NC,28712,35.15130435,-82.77274354,House, 
170,COUNTRY RD,BREVARD,NC,28712,35.13574269,-82.77816788,House, 
177,COUNTRY RD,BREVARD,NC,28712,35.13592017,-82.77872973,House, 
218,COUNTRY RD,BREVARD,NC,28712,35.13651705,-82.77813108,House, 
233,COUNTRY RD,BREVARD,NC,28712,35.13645813,-82.77887501,House, 
22,DALONIGEI CT,BREVARD,NC,28712,35.14860221,-82.72571102,House, 
35,DALONIGEI CT,BREVARD,NC,28712,35.14879424,-82.7265762,House, 
50,DALONIGEI CT,BREVARD,NC,28712,35.14884267,-82.72566118,House, 
55,DALONIGEI CT,BREVARD,NC,28712,35.1490249,-82.72650869,House, 
69,DALONIGEI CT,BREVARD,NC,28712,35.14932778,-82.72636725,House, 
82,DALONIGEI CT,BREVARD,NC,28712,35.14944314,-82.72529872,House, 
83,DALONIGEI CT,BREVARD,NC,28712,35.14954272,-82.72616121,House, 
95,DALONIGEI CT,BREVARD,NC,28712,35.14971044,-82.72604884,House, 
121,DALONIGEI CT,BREVARD,NC,28712,35.14995817,-82.72584984,House, 
137,DALONIGEI CT,BREVARD,NC,28712,35.15012721,-82.7256559,House, 
163,DALONIGEI CT,BREVARD,NC,28712,35.15056944,-82.72567425,House, 
164,DALONIGEI CT,BREVARD,NC,28712,35.15086258,-82.72527247,House, 
20,DEWA CT,BREVARD,NC,28712,35.1496526,-82.76378419,House, 
256,DOTSI DR,BREVARD,NC,28712,35.15846308,-82.72867951,House, 
290,DOTSI DR,BREVARD,NC,28712,35.15803227,-82.72906046,House, 
422,DOTSI DR,BREVARD,NC,28712,35.1569744,-82.72711418,House, 
519,DOTSI DR,BREVARD,NC,28712,35.15664901,-82.72558475,House, 
622,DOTSI DR,BREVARD,NC,28712,35.1554973,-82.72464177,House, 
648,DOTSI DR,BREVARD,NC,28712,35.15505217,-82.72404185,House, 
661,DOTSI DR,BREVARD,NC,28712,35.15559555,-82.72369985,House, 
681,DOTSI DR,BREVARD,NC,28712,35.1555713,-82.72308408,House, 
737,DOTSI DR,BREVARD,NC,28712,35.15535248,-82.72236834,House, 
744,DOTSI DR,BREVARD,NC,28712,35.15502954,-82.72210138,House, 
789,DOTSI DR,BREVARD,NC,28712,35.15536782,-82.72151276,House, 
804,DOTSI DR,BREVARD,NC,28712,35.1544299,-82.72133125,House, 
808,DOTSI DR,BREVARD,NC,28712,35.15458601,-82.72092959,House, 
835,DOTSI DR,BREVARD,NC,28712,35.15526727,-82.7206956,House, 
842,DOTSI DR,BREVARD,NC,28712,35.15460638,-82.72059431,House, 
892,DOTSI DR,BREVARD,NC,28712,35.15422676,-82.72033846,House, 
35,DOTSUWA CT,BREVARD,NC,28712,35.14066269,-82.70985053,House, 
60,DOTSUWA CT,BREVARD,NC,28712,35.13999839,-82.709475,House, 
119,DOTSUWA CT,BREVARD,NC,28712,35.14059375,-82.70861342,House, 
175,DOTSUWA CT,BREVARD,NC,28712,35.14122321,-82.70792888,House, 
