Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
60,AVIAN CT,BREVARD,NC,28712,35.18001277,-82.79935666,House, 
124,AVIAN CT,BREVARD,NC,28712,35.18041255,-82.79830783,House, 
144,AVIAN CT,BREVARD,NC,28712,35.1807791,-82.79809376,House, 
166,AVIAN CT,BREVARD,NC,28712,35.1812416,-82.79757231,House, 
7,BARTON RD,BREVARD,NC,28712,35.19177785,-82.78854698,House, 
9,BARTON RD,BREVARD,NC,28712,35.19171134,-82.78834661,House, 
34,BARTON RD,BREVARD,NC,28712,35.19129322,-82.78853179,House, 
35,BARTON RD,BREVARD,NC,28712,35.19160921,-82.78821577,House, 
51,BARTON RD,BREVARD,NC,28712,35.19135888,-82.78799737,House, 
76,BARTON RD,BREVARD,NC,28712,35.19083088,-82.78813501,House, 
95,BARTON RD,BREVARD,NC,28712,35.19163877,-82.78770683,House, 
115,BARTON RD,BREVARD,NC,28712,35.19085985,-82.78764419,House, 
21,BLACKBERRY LN,BREVARD,NC,28712,35.18992163,-82.78907503,House, 
48,BLACKBERRY LN,BREVARD,NC,28712,35.1892458,-82.78917171,House, 
10,BLAKE RD,BREVARD,NC,28712,35.19330501,-82.78663596,House, 
30,BLAKE RD,BREVARD,NC,28712,35.19348945,-82.78687956,House, 
35,BLAKE RD,BREVARD,NC,28712,35.19345258,-82.78732464,House, 
37,BLAKE RD,BREVARD,NC,28712,35.19360692,-82.78739207,House, 
215,BLAKE RD,BREVARD,NC,28712,35.19566155,-82.78896949,House, 
250,BLAKE RD,BREVARD,NC,28712,35.19592011,-82.78858119,House, 
55,BOXER RUN,BREVARD,NC,28712,35.19728836,-82.78996418,House, 
65,BOXER RUN,BREVARD,NC,28712,35.19803622,-82.78976398,House, 
100,BOXER RUN,BREVARD,NC,28712,35.1975849,-82.78945738,House, 
9,BROOKSIDE DR,BREVARD,NC,28712,35.18145977,-82.79180006,House, 
14,BROOKSIDE DR,BREVARD,NC,28712,35.18111067,-82.79111642,House, 
35,BROOKSIDE DR,BREVARD,NC,28712,35.18194425,-82.79210108,House, 
37,BROOKSIDE DR,BREVARD,NC,28712,35.18187757,-82.79170793,House, 
42,BROOKSIDE DR,BREVARD,NC,28712,35.18170518,-82.79127546,House, 
56,BROOKSIDE DR,BREVARD,NC,28712,35.18190609,-82.79100563,House, 
58,BROOKSIDE DR,BREVARD,NC,28712,35.18201872,-82.79107559,House, 
62,BROOKSIDE DR,BREVARD,NC,28712,35.18213391,-82.79114225,House, 
70,BROOKSIDE DR,BREVARD,NC,28712,35.18223779,-82.79122325,House, 
78,BROOKSIDE DR,BREVARD,NC,28712,35.18234307,-82.79128528,House, 
79,BROOKSIDE DR,BREVARD,NC,28712,35.18215424,-82.79158618,House, 
84,BROOKSIDE DR,BREVARD,NC,28712,35.18246431,-82.79138793,House, 
61,BROTHERS LN,BREVARD,NC,28712,35.19116935,-82.79670895,House, 
70,BROTHERS LN,BREVARD,NC,28712,35.19117838,-82.79647529,House, 
95,BROTHERS LN,BREVARD,NC,28712,35.19156006,-82.79646415,House, 
22,BULLDOZER LN,BREVARD,NC,28712,35.19185957,-82.78784306,House, 
71,BULLDOZER LN,BREVARD,NC,28712,35.19172326,-82.78699066,House, 
130,BULLDOZER LN,BREVARD,NC,28712,35.19097305,-82.7871603,House, 
180,CANADAY DR,BREVARD,NC,28712,35.19856827,-82.78506516,House, 
