Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
15,ADVENTURE RIDGE RD,BREVARD,NC,28712,35.16521983,-82.81525994,House, 
45,ADVENTURE RIDGE RD,BREVARD,NC,28712,35.16529876,-82.81583384,House, 
53,ADVENTURE RIDGE RD,BREVARD,NC,28712,35.16534799,-82.81595696,House, 
61,ADVENTURE RIDGE RD,BREVARD,NC,28712,35.16538937,-82.81606983,House, 
205,ADVENTURE RIDGE RD,BREVARD,NC,28712,35.16443114,-82.81809277,House, 
270,ADVENTURE RIDGE RD,BREVARD,NC,28712,35.1641225,-82.81891943,House, 
272,ADVENTURE RIDGE RD,BREVARD,NC,28712,35.16386464,-82.81898984,House, 
291,ADVENTURE RIDGE RD,BREVARD,NC,28712,35.1636276,-82.81840302,House, 
293,ADVENTURE RIDGE RD,BREVARD,NC,28712,35.16346938,-82.81861029,House, 
360,ADVENTURE RIDGE RD,BREVARD,NC,28712,35.16344275,-82.82002372,House, 
399,ADVENTURE RIDGE RD,BREVARD,NC,28712,35.16268585,-82.81987473,House, 
440,ADVENTURE RIDGE RD,BREVARD,NC,28712,35.16267147,-82.82048706,House, 
56,ALLEN RD,BREVARD,NC,28712,35.16905077,-82.6996618,House, 
58,ALLEN RD,BREVARD,NC,28712,35.16950244,-82.70040688,House, 
146,ALLEN RD,BREVARD,NC,28712,35.16870806,-82.70103752,House, 
147,ALLEN RD,BREVARD,NC,28712,35.16843121,-82.69994554,House, 
90,AMA CT,BREVARD,NC,28712,35.16085508,-82.73430031,House, 
42,AVIAN CT,BREVARD,NC,28712,35.17936565,-82.79927034,House, 
106,AVIAN CT,BREVARD,NC,28712,35.17938935,-82.79842102,House, 
14,BANTAM WAY,BREVARD,NC,28712,35.16565189,-82.73042669,House, 
21,BANTAM WAY,BREVARD,NC,28712,35.16581792,-82.73056071,House, 
24,BANTAM WAY,BREVARD,NC,28712,35.16576437,-82.73036751,House, 
246,BEAR CREEK RD,ROSMAN,NC,28772,35.17536098,-82.83728046,House, 
263,BEAR CREEK RD,ROSMAN,NC,28772,35.1750869,-82.83724492,House, 
13,BEVERLY HILLS DR,BREVARD,NC,28712,35.16167423,-82.70919809,House, 
22,BEVERLY HILLS DR,BREVARD,NC,28712,35.16168177,-82.70957222,House, 
61,BEVERLY HILLS DR,BREVARD,NC,28712,35.16128428,-82.70915099,House, 
90,BEVERLY HILLS DR,BREVARD,NC,28712,35.16121314,-82.70955123,House, 
100,BEVERLY HILLS DR,BREVARD,NC,28712,35.16072554,-82.70997721,House, 
103,BEVERLY HILLS DR,BREVARD,NC,28712,35.16068694,-82.70939243,House, 
130,BEVERLY HILLS DR,BREVARD,NC,28712,35.1601744,-82.7100594,House, 
135,BEVERLY HILLS DR,BREVARD,NC,28712,35.16023047,-82.7094546,House, 
166,BLACK BEAVER RD,BREVARD,NC,28712,35.1633279,-82.6915699,House, 
264,BLACK BEAVER RD,BREVARD,NC,28712,35.16370667,-82.69347044,House, 
25,BLUE HERON TRL,BREVARD,NC,28712,35.17818308,-82.74146547,House, 
63,BLUE HERON TRL,BREVARD,NC,28712,35.17793449,-82.74060652,House, 
70,BLUE HERON TRL,BREVARD,NC,28712,35.17777979,-82.74116114,House, 
116,BLUEBIRD TRL,BREVARD,NC,28712,35.16994454,-82.7229254,House, 
370,BLUEBIRD TRL,BREVARD,NC,28712,35.17368178,-82.72190299,House, 
444,BLUEBIRD TRL,BREVARD,NC,28712,35.1745082,-82.72155781,House, 
480,BLUEBIRD TRL,BREVARD,NC,28712,35.17505326,-82.72234799,House, 
800,BLUEBIRD TRL,BREVARD,NC,28712,35.17696544,-82.72650788,House, 
19,BOBCAT TRL,BREVARD,NC,28712,35.17159029,-82.72436751,House, 
21,BOBCAT TRL,BREVARD,NC,28712,35.17188926,-82.72412493,House, 
32,BOBCAT TRL,BREVARD,NC,28712,35.1714034,-82.72361861,House, 
46,BOBCAT TRL,BREVARD,NC,28712,35.17168382,-82.72338051,House, 
