Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
120,HOSPITAL DR,BREVARD,NC,28712,35.2557072,-82.71450325,Apartment,APT 111
120,HOSPITAL DR,BREVARD,NC,28712,35.25553991,-82.71448485,Apartment,APT 112
120,HOSPITAL DR,BREVARD,NC,28712,35.25570412,-82.71460364,Apartment,APT 113
120,HOSPITAL DR,BREVARD,NC,28712,35.25553966,-82.71458895,Apartment,APT 114
120,HOSPITAL DR,BREVARD,NC,28712,35.25570225,-82.71466458,Apartment,APT 115
120,HOSPITAL DR,BREVARD,NC,28712,35.25553779,-82.7146499,Apartment,APT 116
120,HOSPITAL DR,BREVARD,NC,28712,35.25569964,-82.71398234,Apartment,APT 201
120,HOSPITAL DR,BREVARD,NC,28712,35.25563266,-82.71395774,Apartment,APT 202
120,HOSPITAL DR,BREVARD,NC,28712,35.25570387,-82.71403638,Apartment,APT 203
120,HOSPITAL DR,BREVARD,NC,28712,35.25562774,-82.71402214,Apartment,APT 204
120,HOSPITAL DR,BREVARD,NC,28712,35.25569807,-82.71412946,Apartment,APT 205
120,HOSPITAL DR,BREVARD,NC,28712,35.25561889,-82.71411867,Apartment,APT 206
120,HOSPITAL DR,BREVARD,NC,28712,35.2556988,-82.7142013,Apartment,APT 207
120,HOSPITAL DR,BREVARD,NC,28712,35.25561352,-82.71419741,Apartment,APT 208
120,HOSPITAL DR,BREVARD,NC,28712,35.25557493,-82.71430335,Apartment,APT 209
120,HOSPITAL DR,BREVARD,NC,28712,35.25568239,-82.71444827,Apartment,APT 210
120,HOSPITAL DR,BREVARD,NC,28712,35.25560626,-82.71443402,Apartment,APT 211
120,HOSPITAL DR,BREVARD,NC,28712,35.25567485,-82.71450178,Apartment,APT 212
120,HOSPITAL DR,BREVARD,NC,28712,35.25559556,-82.71449457,Apartment,APT 213
120,HOSPITAL DR,BREVARD,NC,28712,35.25567166,-82.71460574,Apartment,APT 214
120,HOSPITAL DR,BREVARD,NC,28712,35.25559531,-82.71459867,Apartment,APT 215
120,HOSPITAL DR,BREVARD,NC,28712,35.25566979,-82.71466669,Apartment,APT 216
120,HOSPITAL DR,BREVARD,NC,28712,35.25559627,-82.71466333,Apartment,APT 217
120,HOSPITAL DR,BREVARD,NC,28712,35.25574777,-82.71433278,House,
15,HUMBLE DR,BREVARD,NC,28712,35.25302843,-82.70199801,House,
20,HUMBLE DR,BREVARD,NC,28712,35.25314224,-82.70183307,House,
37,HUMBLE DR,BREVARD,NC,28712,35.25323981,-82.70222942,House,
40,HUMBLE DR,BREVARD,NC,28712,35.25351161,-82.70190216,House,
49,HUMBLE DR,BREVARD,NC,28712,35.25356561,-82.70235067,House,
63,HUMBLE DR,BREVARD,NC,28712,35.25373047,-82.70226568,House,
77,HUMBLE DR,BREVARD,NC,28712,35.2539122,-82.70229818,House,
129,HUMBLE DR,BREVARD,NC,28712,35.25451202,-82.70257639,House,
21,IDLEWOOD ST,BREVARD,NC,28712,35.25239511,-82.70910409,House,
48,IDLEWOOD ST,BREVARD,NC,28712,35.25273595,-82.70849959,House,
49,IDLEWOOD ST,BREVARD,NC,28712,35.2528315,-82.70903729,House,
61,JACKSON CT,BREVARD,NC,28712,35.24684247,-82.72407122,House,
6,JASMINE LN,BREVARD,NC,28712,35.2574914,-82.72102591,House,
14,JASMINE LN,BREVARD,NC,28712,35.25738512,-82.72087708,House,
22,JASMINE LN,BREVARD,NC,28712,35.2573085,-82.72071631,House,
32,JASMINE LN,BREVARD,NC,28712,35.25724868,-82.72052374,House,
38,JASMINE LN,BREVARD,NC,28712,35.25720862,-82.72033886,House,
50,JASMINE LN,BREVARD,NC,28712,35.25719176,-82.72014219,House,
184,KINGS CREEK LOOP,BREVARD,NC,28712,35.23637772,-82.72686499,House,
194,KINGS CREEK LOOP,BREVARD,NC,28712,35.2360604,-82.72643515,House,
271,KINGS CREEK LOOP,BREVARD,NC,28712,35.23812638,-82.72567124,House,
281,KINGS CREEK LOOP,BREVARD,NC,28712,35.2376197,-82.72599041,House,
283,KINGS CREEK LOOP,BREVARD,NC,28712,35.23858098,-82.72545303,House,
285,KINGS CREEK LOOP,BREVARD,NC,28712,35.23804112,-82.72505733,House,
290,KINGS CREEK LOOP,BREVARD,NC,28712,35.23680522,-82.72532575,House,
292,KINGS CREEK LOOP,BREVARD,NC,28712,35.23615692,-82.72293869,House,
378,KINGS CREEK LOOP,BREVARD,NC,28712,35.23812227,-82.724036,House,
406,KINGS CREEK LOOP,BREVARD,NC,28712,35.23871631,-82.72286612,Apartment,R101
406,KINGS CREEK LOOP,BREVARD,NC,28712,35.23871631,-82.72286612,Apartment,R102
406,KINGS CREEK LOOP,BREVARD,NC,28712,35.23871631,-82.72286612,Apartment,R103
406,KINGS CREEK LOOP,BREVARD,NC,28712,35.23871631,-82.72286612,Apartment,R104
406,KINGS CREEK LOOP,BREVARD,NC,28712,35.23871631,-82.72286612,Apartment,R201
406,KINGS CREEK LOOP,BREVARD,NC,28712,35.23871631,-82.72286612,Apartment,R202
406,KINGS CREEK LOOP,BREVARD,NC,28712,35.23871631,-82.72286612,Apartment,R203
440,KINGS CREEK LOOP,BREVARD,NC,28712,35.2391685,-82.72435764,House,
454,KINGS CREEK LOOP,BREVARD,NC,28712,35.23928089,-82.72466018,House,
476,KINGS CREEK LOOP,BREVARD,NC,28712,35.23935465,-82.72493911,House,
478,KINGS CREEK LOOP,BREVARD,NC,28712,35.23939366,-82.7250689,House,
494,KINGS CREEK LOOP,BREVARD,NC,28712,35.23944535,-82.72525181,House,
496,KINGS CREEK LOOP,BREVARD,NC,28712,35.23948537,-82.7253846,House,
520,KINGS CREEK LOOP,BREVARD,NC,28712,35.23957864,-82.72576355,House,
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 11
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 12
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 13
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 14
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 15
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 16
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 17
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 18
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 21
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 22
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 23
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 24
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 25
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 26
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 27
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 28
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 31
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 32
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 33
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 34
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 35
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 36
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 37
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 38
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 41
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 42
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 43
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 44
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 45
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 46
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 47
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 48
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 51
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 52
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 53
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 54
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 55
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 56
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 57
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 58
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 61
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 62
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 63
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 64
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 65
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 66
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 67
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 68
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 71
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 72
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 73
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 74
595,KINGS CREEK LOOP,BREVARD,NC,28712,35.23953356,-82.72720691,Apartment,APT 75
