Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
1266,ASHEVILLE HWY,BREVARD,NC,28712,35.26002376,-82.71528267,Apartment,STE 1
1266,ASHEVILLE HWY,BREVARD,NC,28712,35.25987917,-82.71462684,Apartment,STE 2
1266,ASHEVILLE HWY,BREVARD,NC,28712,35.25991935,-82.71487312,Apartment,STE 3
1301,ASHEVILLE HWY,BREVARD,NC,28712,35.25993075,-82.71644284,Apartment,STE A
1301,ASHEVILLE HWY,BREVARD,NC,28712,35.25999654,-82.71647669,Apartment,STE B
1370,ASHEVILLE HWY,BREVARD,NC,28712,35.26060427,-82.71535877,House,
1371,ASHEVILLE HWY,BREVARD,NC,28712,35.2607109,-82.71619262,House,
1386,ASHEVILLE HWY,BREVARD,NC,28712,35.26104828,-82.71535272,House,
1420,ASHEVILLE HWY,BREVARD,NC,28712,35.26147505,-82.71535904,House,
1460,ASHEVILLE HWY,BREVARD,NC,28712,35.26214633,-82.71523458,House,
1474,ASHEVILLE HWY,BREVARD,NC,28712,35.26255454,-82.71509787,House,
1479,ASHEVILLE HWY,BREVARD,NC,28712,35.26218897,-82.71617406,House,
1486,ASHEVILLE HWY,BREVARD,NC,28712,35.26268647,-82.71507467,Apartment,STE A
1486,ASHEVILLE HWY,BREVARD,NC,28712,35.2627573,-82.7150686,Apartment,STE B
1486,ASHEVILLE HWY,BREVARD,NC,28712,35.262834,-82.71505813,House,
1520,ASHEVILLE HWY,BREVARD,NC,28712,35.26301691,-82.71501808,House,
1778,ASHEVILLE HWY,BREVARD,NC,28712,35.26609816,-82.71320904,House,
1856,ASHEVILLE HWY,BREVARD,NC,28712,35.26732087,-82.71211629,House,
1901,ASHEVILLE HWY,BREVARD,NC,28712,35.26812981,-82.71257185,House,
1910,ASHEVILLE HWY,BREVARD,NC,28712,35.26760492,-82.71170983,House,
1951,ASHEVILLE HWY,BREVARD,NC,28712,35.26869183,-82.7118291,House,
1980,ASHEVILLE HWY,BREVARD,NC,28712,35.26823946,-82.71074523,House,
1985,ASHEVILLE HWY,BREVARD,NC,28712,35.26906588,-82.71141364,House,
2054,ASHEVILLE HWY,BREVARD,NC,28712,35.26890043,-82.70968011,House,
2060,ASHEVILLE HWY,BREVARD,NC,28712,35.26904059,-82.70942841,House,
