Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
63,CEDAR CREST DR,BREVARD,NC,28712,35.24115924,-82.7199389,House,
71,CEDAR CREST DR,BREVARD,NC,28712,35.24094125,-82.71985416,House,
82,CEDAR CREST DR,BREVARD,NC,28712,35.2407761,-82.72027116,House,
91,CEDAR CREST DR,BREVARD,NC,28712,35.24070193,-82.71972474,House,
100,CEDAR CREST DR,BREVARD,NC,28712,35.24052227,-82.72014139,House,
107,CEDAR CREST DR,BREVARD,NC,28712,35.24048193,-82.71960834,House,
108,CEDAR CREST DR,BREVARD,NC,28712,35.24026721,-82.72000079,House,
121,CEDAR CREST DR,BREVARD,NC,28712,35.24025135,-82.7194788,House,
128,CEDAR CREST DR,BREVARD,NC,28712,35.2399983,-82.7198713,House,
133,CEDAR CREST DR,BREVARD,NC,28712,35.23990176,-82.71932297,House,
53,CHERRY ST,BREVARD,NC,28712,35.25115529,-82.70654912,House,
65,CHERRY ST,BREVARD,NC,28712,35.25130444,-82.70683368,House,
87,CHERRY ST,BREVARD,NC,28712,35.25136154,-82.70716732,House,
104,CHERRY ST,BREVARD,NC,28712,35.25186434,-82.70722809,House,
111,CHERRY ST,BREVARD,NC,28712,35.25146835,-82.70750878,House,
121,CHERRY ST,BREVARD,NC,28712,35.25152139,-82.7077729,House,
140,CHERRY ST,BREVARD,NC,28712,35.25208258,-82.70789887,House,
147,CHERRY ST,BREVARD,NC,28712,35.25160682,-82.70811337,House,
159,CHERRY ST,BREVARD,NC,28712,35.25169272,-82.70844923,House,
166,CHERRY ST,BREVARD,NC,28712,35.25216264,-82.70840358,House,
175,CHERRY ST,BREVARD,NC,28712,35.25175948,-82.70875984,House,
205,CHERRY ST,BREVARD,NC,28712,35.25187249,-82.70906415,House,
232,CHERRY ST,BREVARD,NC,28712,35.25248067,-82.709562,House,
245,CHERRY ST,BREVARD,NC,28712,35.25199238,-82.70971702,House,
270,CHERRY ST,BREVARD,NC,28712,35.25286549,-82.71057603,House,
19,CHESTNUT ST,BREVARD,NC,28712,35.24749594,-82.72153584,Apartment,UNIT 2
19,CHESTNUT ST,BREVARD,NC,28712,35.24736661,-82.72141801,Apartment,UNIT 3
19,CHESTNUT ST,BREVARD,NC,28712,35.24732223,-82.72141984,Apartment,UNIT 4
19,CHESTNUT ST,BREVARD,NC,28712,35.24727153,-82.72142138,Apartment,UNIT 5
19,CHESTNUT ST,BREVARD,NC,28712,35.24722703,-82.72142707,Apartment,UNIT 6
19,CHESTNUT ST,BREVARD,NC,28712,35.24712903,-82.72142259,Apartment,UNIT 7
93,CHESTNUT ST,BREVARD,NC,28712,35.24647334,-82.72161074,House,
95,CHESTNUT ST,BREVARD,NC,28712,35.24649887,-82.72133959,House,
317,CHESTNUT ST,BREVARD,NC,28712,35.24450144,-82.72097665,House,
137,CHESTNUT ST,BREVARD,NC,28712,35.24621921,-82.72133001,House,
169,CHESTNUT ST,BREVARD,NC,28712,35.24584631,-82.72154187,House,
