Number,Street,City,State,PostalCode,Latitude,Longitude,Type,ApartmentNumber
9,PARK PLACE WEST,BREVARD,NC,28712,35.2564703,-82.71890999,Apartment,STE 102
9,PARK PLACE WEST,BREVARD,NC,28712,35.25649577,-82.71899422,Apartment,STE 201
10,PARK PLACE WEST,BREVARD,NC,28712,35.25605269,-82.71834869,House,
11,PARK PLACE WEST,BREVARD,NC,28712,35.25636529,-82.71810644,House,
13,PARK PLACE WEST,BREVARD,NC,28712,35.25662766,-82.71787918,Apartment,STE 101
15,PARK PLACE WEST,BREVARD,NC,28712,35.25651975,-82.71841608,House,
17,PEACEFUL LN,BREVARD,NC,28712,35.25808857,-82.71101523,House,
26,PEACEFUL LN,BREVARD,NC,28712,35.2584293,-82.71105659,House,
39,PEACEFUL LN,BREVARD,NC,28712,35.25790957,-82.71088278,House,
40,PEACEFUL LN,BREVARD,NC,28712,35.25786858,-82.71119039,House,
35,PINE MOUNTAIN TRL,BREVARD,NC,28712,35.2573031,-82.7218425,House,
89,PINE MOUNTAIN TRL,BREVARD,NC,28712,35.25791039,-82.72239228,Apartment, 
249,PINE MOUNTAIN TRL,BREVARD,NC,28712,35.25938795,-82.72362178,House,
385,PINE MOUNTAIN TRL,BREVARD,NC,28712,35.25927736,-82.72568948,House,
122,PISGAH DR,BREVARD,NC,28712,35.25978223,-82.7106308,House,
127,PISGAH DR,BREVARD,NC,28712,35.25967131,-82.71004534,House,
151,PISGAH DR,BREVARD,NC,28712,35.25927989,-82.71012217,House,
167,PISGAH DR,BREVARD,NC,28712,35.25901962,-82.71014667,House,
191,PISGAH DR,BREVARD,NC,28712,35.25876068,-82.71019563,House,
204,PISGAH DR,BREVARD,NC,28712,35.25860024,-82.71099262,House,
208,PISGAH DR,BREVARD,NC,28712,35.2584803,-82.71088668,House,
214,PISGAH DR,BREVARD,NC,28712,35.25832977,-82.71089979,House,
221,PISGAH DR,BREVARD,NC,28712,35.25838847,-82.71024883,House,
226,PISGAH DR,BREVARD,NC,28712,35.25807617,-82.71061459,House,
